"subject_id","fcOrder","item","group","wave","1","2","3","4","5","form","resolution_31May2024","bin_number","unit","obscore","obscore_standardized","obscore_standardized_to_reg"
"yMeSz76Rr9eoJcLNUcyC","fcAE","C1084","reg",1,0,0.08,0.52,0.39,0.01,"E",7,1,"count",1.00325,0.624316866579203,NA
"QYSywlxUihOc0S6p7nNh","fcDC","M7949","reg",1,0,0,0.04,0.23,0.73,"C",12.116,4,"million km2",0.26725,-0.0760606561701247,NA
"9fNzCWLAlFIBwlLJ0oFz","fcDC","M7949","reg",1,0.05,0.11,0.4,0.34,0.1,"C",12.116,4,"million km2",0.17585,-0.484844395309252,NA
"WIgOURivC4n0cmwPOXBA","fcAE","C1084","reg",1,0.19,0.74,0.04,0.03,0,"E",7,1,"count",0.33095,-0.841085687779094,NA
"lZB7oUCVEoF1pfPYk4Wz","fcAE","C1084","reg",1,0.15,0.4,0.3,0.1,0.05,"E",7,1,"count",0.475,-0.527101993066447,NA
"P11pwBllfUHMrfMVJO4y","fcBA","G1948","reg",1,0.1,0.06,0.13,0.24,0.47,"A",2126085,1,"count",1.1203,1.07904364081873,NA
"nDejJ2gTwPGj389BaBsD","fcCB","G1189","reg",1,0.01,0.08,0.15,0.66,0.1,"B",15238.3,3,"Index",0.2979,0.893757531813781,NA
"xgX9LZbxnEJvwHKfw0AT","fcED","G1920","reg",1,0.8,0.05,0.05,0.05,0.05,"D",550347492,1,"USD",0.0375,-0.955621893169001,NA
"5Jqzges6X72YJR7IVU7C","fcCB","G1189","reg",1,0.05,0.2,0.47,0.25,0.03,"B",15238.3,3,"Index",0.07215,-1.07070726271106,NA
"cGDXYCoIaT6isOfDsR1U","fcBA","G1948","reg",1,0,0.15,0.4,0.45,0,"A",2126085,1,"count",0.9625,0.627219646321945,NA
"RiL2bfbAKYkgUCWcsplG","fcBA","G1948","reg",1,0.05,0.1,0.4,0.3,0.15,"A",2126085,1,"count",0.925,0.5198470240556,NA
"omfSFxzu7MrjjSSafj2q","fcCB","G1189","reg",1,0,0.1,0.2,0.5,0.2,"B",15238.3,3,"Index",0.27,0.650973178470512,NA
"im0Ub37HXaZbm6JTGZsg","fcCB","G1189","reg",1,0.2,0.1,0.1,0.2,0.4,"B",15238.3,3,"Index",0.325,1.12958032663825,NA
"5KVDGaVVAHsiHJMjLWGH","fcAE","C1084","reg",1,0,0.25,0.03,0.12,0.6,"E",7,1,"count",1.22045,1.09774455482347,NA
"tRFFPyx12L3p8DIjoKnB","fcAE","C1084","reg",1,0.88,0.08,0.04,0,0,"E",7,1,"count",0.008,-1.54501511650141,NA
"D0FyE8Mv8tbcZvUb3vgv","fcBA","G1948","reg",1,0.45,0.3,0.1,0.1,0.05,"A",2126085,1,"count",0.195,-1.57034002272926,NA
"UYz0lrNMqMlbdHlgqSTo","fcBA","G1948","reg",1,0.01,0.09,0.6,0.2,0.1,"A",2126085,1,"count",0.94505,0.577255586094006,NA
"713sXb02mkrHAlE48iCz","fcED","G1920","reg",1,0.86,0.1,0.02,0.02,0,"D",550347492,1,"USD",0.0108,-1.03732340509378,NA
"XDOPO1uoLt19UpVvxQMU","fcBA","G1948","reg",1,0,0.3,0.6,0.1,0,"A",2126085,1,"count",0.75,0.0187747868126536,NA
"mBdoKoU3XJ9aSYehlcvO","fcAE","C1084","reg",1,0.05,0.2,0.4,0.3,0.05,"E",7,1,"count",0.795,0.170397363462863,NA
"4MhlknTWNBsCpY9BSp8P","fcED","G1920","reg",1,0,0,0,0.3,0.7,"D",550347492,1,"USD",1.745,4.26929689378095,NA
"nvEdRy29lvIepo6irKSa","fcBA","G1948","reg",1,0.1,0.2,0.3,0.15,0.25,"A",2126085,1,"count",0.76125,0.0509865734925572,NA
"Ij5If0n4tBMsNtacFvQq","fcCB","G1189","reg",1,0.05,0.15,0.3,0.4,0.1,"B",15238.3,3,"Index",0.15125,-0.382383164164372,NA
"hmmN8bnXvAkt9IUI7YH1","fcED","G1920","reg",1,0,0,0.13,0.39,0.48,"D",550347492,1,"USD",1.49365,3.5001704884516,NA
"KksnW2TeKkjlvUHvX5zU","fcBA","G1948","reg",1,0.1,0.2,0.35,0.2,0.15,"A",2126085,1,"count",0.7225,-0.0599651361826665,NA
"K23r5Gciflq8ssI5pwWt","fcBA","G1948","reg",1,0.19,0.24,0.25,0.19,0.13,"A",2126085,1,"count",0.55015,-0.553449708118791,NA
"0tveH30S5NXFhmiXbIwX","fcED","G1920","reg",1,0.1,0.2,0.35,0.3,0.05,"D",550347492,1,"USD",0.7125,1.10986576785075,NA
"xEOfY34NajjGyJmQtJ4s","fcDC","M7949","reg",1,0.1,0.2,0.4,0.2,0.1,"C",12.116,4,"million km2",0.3,0.0704127295717403,NA
"cthqlIctvxHks5zEjCta","fcBA","G1948","reg",1,0.7,0.11,0.03,0.05,0.11,"A",2126085,1,"count",0.0819,-1.89417585148456,NA
"OnWF9xAaNJRvOuX00KEc","fcCB","G1189","reg",1,0,0,0,0.86,0.14,"B",15238.3,3,"Index",0.5098,2.73770034448184,NA
"Y4wLZITrk3Kum0lcuesK","fcBA","G1948","reg",1,0,0.25,0.75,0,0,"A",2126085,1,"count",0.78125,0.108251972034608,NA
"Llp7QT0WZn6H3JgzqQ4l","fcCB","G1189","reg",1,0.14,0.51,0.15,0.13,0.07,"B",15238.3,3,"Index",0.2435,0.420371552535149,NA
"6k3jgmlRSTqrodJ0jwAs","fcED","G1920","reg",1,0.05,0.23,0.5,0.22,0,"D",550347492,1,"USD",0.73465,1.1776443629494,NA
"0BfdNKn6rbHBPfFmtL64","fcCB","G1189","reg",1,0.01,0.01,0.45,0.45,0.08,"B",15238.3,3,"Index",0.1439,-0.446342483055878,NA
"5FK6Vbwq2sUGNtVEgaFU","fcBA","G1948","reg",1,0.84,0.16,0,0,0,"A",2126085,1,"count",0.0128,-2.09202780344735,NA
"umPuWugT1xnDE3i5CyiS","fcED","G1920","reg",1,0.55,0.3,0.1,0.05,0,"D",550347492,1,"USD",0.11375,-0.72229828701677,NA
"baWpZ45AscEjcjtTL7mF","fcCB","G1189","reg",1,0.05,0.4,0.4,0.1,0.05,"B",15238.3,3,"Index",0.115,-0.697828784547652,NA
"u2ImtLqPCHaQdlpUDDTH","fcAE","C1084","reg",1,0.18,0.16,0.34,0.2,0.12,"E",7,1,"count",0.6124,-0.227613206856675,NA
"aknNulByQw7cFuH2L166","fcED","G1920","reg",1,0.8,0.1,0.05,0.04,0.01,"D",550347492,1,"USD",0.0263,-0.989893688433328,NA
"ekGBkEpWxMdbx2WL17xl","fcDC","M7949","reg",1,0,0.05,0.15,0.4,0.4,"C",12.116,4,"million km2",0.10125,-0.818490641915149,NA
"UQJfChjDGbHBK9ydZuBL","fcBA","G1948","reg",1,0.13,0.5,0.13,0.13,0.11,"A",2126085,1,"count",0.48175,-0.749297371132606,NA
"2YA4KcXYzGRjkRBd5PL9","fcBA","G1948","reg",1,0.05,0.1,0.16,0.44,0.25,"A",2126085,1,"count",1.0818,0.96880774862528,NA
"NsnSnPBoVOM0FBnTLBUg","fcCB","G1189","reg",1,0.05,0.4,0.3,0.15,0.1,"B",15238.3,3,"Index",0.13875,-0.491157516020675,NA
"EYYpsISJ9Gn6xVcClZge","fcDC","M7949","reg",1,0,0.01,0.03,0.12,0.84,"C",12.116,4,"million km2",0.35365,0.310360734000779,NA
"paNIkLAolYQLDWiJ1rc1","fcBA","G1948","reg",1,0.2,0.23,0.44,0.03,0.1,"A",2126085,1,"count",0.4959,-0.708782101664105,NA
"rhddayHF97oSYI7UrdRt","fcED","G1920","reg",1,0.27,0.29,0.27,0.11,0.06,"D",550347492,1,"USD",0.3795,0.0908918550810048,NA
"N6wowD1y5KF7dmrevwH4","fcED","G1920","reg",1,0.15,0.35,0,0.05,0.45,"D",550347492,1,"USD",0.7125,1.10986576785075,NA
"Yjyw7yxk1JfumMK3kuLP","fcBA","G1948","reg",1,0.2,0.5,0.2,0.1,0,"A",2126085,1,"count",0.37,-1.06926778548632,NA
"Es2GuFdquKQ4uWPOPXxX","fcDC","M7949","reg",1,0.1,0.2,0.31,0.26,0.13,"C",12.116,4,"million km2",0.2445,-0.177809343975542,NA
