"subject_id","wave","fcOrder","group","item","forecast","bscore","bscore_standardized","bscore_standardized_to_reg"
"HozmCUcCHVfHEc3uO79q",2,"fcCB","reg","G1920",37,0.7938,0.130083235989042,NA
"HozmCUcCHVfHEc3uO79q",2,"fcCB","reg","G2006",62,0.2888,-0.843387992056253,NA
"887VJxVdyCaKr418yL1i",2,"fcDC","reg","G2404",62,0.2888,-0.0311517198520451,NA
"O88gcs0iBczTV5V6mLTh",2,"fcCB","reg","G1920",8,1.6928,1.72924823777894,NA
"O88gcs0iBczTV5V6mLTh",2,"fcCB","reg","G2006",16,1.4112,1.40112423583666,NA
"LSSNI9CJdMEB7kIIdv1j",2,"fcCB","reg","G1920",60,0.32,-0.712724748269082,NA
"LSSNI9CJdMEB7kIIdv1j",2,"fcCB","reg","G2006",22,1.2168,1.01237407804766,NA
"L93UQXO4wGARzfPq08oO",2,"fcED","reg","G1472",15,0.045,-0.703052141760656,NA
"L93UQXO4wGARzfPq08oO",2,"fcED","reg","G1948",10,1.62,1.25755452318996,NA
"xEOfY34NajjGyJmQtJ4s",2,"fcDC","reg","G2404",60,0.32,0.0506538151875967,NA
"Ktd2aatpEAfmRXFdSH7f",2,"fcED","reg","G1472",70,0.98,1.28998437396582,NA
"Ktd2aatpEAfmRXFdSH7f",2,"fcED","reg","G1948",70,0.18,-0.848688835583411,NA
"M0AQNZG3Ztf3ASfDCjLk",2,"fcAE","reg","C1039",20,1.28,0.326817118032495,NA
"M0AQNZG3Ztf3ASfDCjLk",2,"fcAE","reg","G2063",85,0.045,-0.413932989859081,NA
"GWvg7NVGakvtiXu8z98w",2,"fcBA","reg","C47",30,0.18,-0.617930709215391,NA
"GWvg7NVGakvtiXu8z98w",2,"fcBA","reg","M7949",39,0.3042,-1.04738263975743,NA
"pabaPqShLcfFodkNxSi9",2,"fcAE","reg","C1039",75,0.125,-1.32518272031441,NA
"pabaPqShLcfFodkNxSi9",2,"fcAE","reg","G2063",90,0.02,-0.519882855264742,NA
"J5eWb6Pq8mCfi5w5m4yC",2,"fcCB","reg","G1920",40,0.72,-0.00119415792874953,NA
"J5eWb6Pq8mCfi5w5m4yC",2,"fcCB","reg","G2006",60,0.32,-0.780995991423449,NA
"XDOPO1uoLt19UpVvxQMU",2,"fcBA","reg","C47",30,0.18,-0.617930709215391,NA
"XDOPO1uoLt19UpVvxQMU",2,"fcBA","reg","M7949",76,1.1552,0.38308030913611,NA
"I6zwRZqces67gSGlGpMl",2,"fcCB","reg","G1920",34,0.8712,0.267764405219896,NA
"I6zwRZqces67gSGlGpMl",2,"fcCB","reg","G2006",29,1.0082,0.595227560996281,NA
"ViAOJ5c4xcmlicXktJDv",2,"fcDC","reg","G2404",42,0.6728,0.975685634482006,NA
"LT2PWfa1d0t3mjn0w4KZ",2,"fcBA","reg","C47",14,0.0392,-0.887705069653517,NA
"LT2PWfa1d0t3mjn0w4KZ",2,"fcBA","reg","M7949",50,0.5,-0.718258497109536,NA
"AMdGiZCShW6RizBlKSmC",2,"fcAE","reg","C1039",34,0.8712,-0.257890703539985,NA
"AMdGiZCShW6RizBlKSmC",2,"fcAE","reg","G2063",77,0.1058,-0.156262917192514,NA
"rLd0lHpGVa2JlPcDPHoK",2,"fcAE","reg","C1039",80,0.08,-1.38954635037987,NA
"rLd0lHpGVa2JlPcDPHoK",2,"fcAE","reg","G2063",93,0.00979999999999999,-0.563110400350251,NA
"tQpvMJzeFXX0gCrC6vyK",2,"fcCB","reg","G1920",90,0.02,-1.24637269102433,NA
"tQpvMJzeFXX0gCrC6vyK",2,"fcCB","reg","G2006",15,1.445,1.46871556985553,NA
"rhddayHF97oSYI7UrdRt",2,"fcED","reg","G1472",20,0.08,-0.628446496786937,NA
"rhddayHF97oSYI7UrdRt",2,"fcED","reg","G1948",5,1.805,1.52814828803237,NA
"tpeAVPcZPp4su9E70bYx",2,"fcBA","reg","C47",25,0.125,-0.723311318761534,NA
"tpeAVPcZPp4su9E70bYx",2,"fcBA","reg","M7949",30,0.18,-1.25615290797432,NA
"YORDk6DFygvOTEfH2xnP",2,"fcED","reg","G1472",100,2,3.46420602748562,NA
"YORDk6DFygvOTEfH2xnP",2,"fcED","reg","G1948",98,0.000800000000000001,-1.11079912023076,NA
"vSxwOckngCvrG4n3EbUf",2,"fcBA","reg","C47",40,0.32,-0.349689157643391,NA
"vSxwOckngCvrG4n3EbUf",2,"fcBA","reg","M7949",60,0.72,-0.348456089639997,NA
"v8OOr4HHwaTU8MdlBiNe",2,"fcED","reg","G1472",30,0.18,-0.415287511147742,NA
"v8OOr4HHwaTU8MdlBiNe",2,"fcED","reg","G1948",70,0.18,-0.848688835583411,NA
"kOdPwuboub15eEeAr6EV",2,"fcAE","reg","C1039",88,0.0288,-1.46277785836547,NA
"kOdPwuboub15eEeAr6EV",2,"fcAE","reg","G2063",85,0.045,-0.413932989859081,NA
"vlbtkquRlMj2bw9Obpel",2,"fcBA","sup","C47",85,1.445,2.71948704755542,1.80582331034589
"vlbtkquRlMj2bw9Obpel",2,"fcBA","sup","M7949",85,1.445,0.60816329986542,0.870210934975531
"jtLHDBCHTQmFdAKk960m",2,"fcAE","reg","C1039",66,0.2312,-1.17328455335991,NA
"jtLHDBCHTQmFdAKk960m",2,"fcAE","reg","G2063",90,0.02,-0.519882855264742,NA
"Z7HAk5IK2pAcOuvwDVKU",2,"fcAE","reg","C1039",10,1.62,0.813120100749332,NA
"Z7HAk5IK2pAcOuvwDVKU",2,"fcAE","reg","G2063",85,0.045,-0.413932989859081,NA
"y1JEIOJQJeheqJoGWlQ9",2,"fcED","reg","G1472",5,0.005,-0.788315736016334,NA
"y1JEIOJQJeheqJoGWlQ9",2,"fcED","reg","G1948",40,0.72,-0.0588475760433983,NA
"SqhyFLTUrs6u8geASTKe",2,"fcCB","reg","G1920",20,1.28,0.994948668547716,NA
"SqhyFLTUrs6u8geASTKe",2,"fcCB","reg","G2006",32,0.9248,0.428448943920132,NA
"bluXweOxWhtauCX3IxLG",2,"fcDC","reg","G2404",73,0.1458,-0.406093755450403,NA
"zMXD254LotKBsOco4pqG",2,"fcCB","sup","G1920",46,0.5832,-0.647856529860072,-0.244537619825143
"zMXD254LotKBsOco4pqG",2,"fcCB","sup","G2006",46,0.5832,-1.20209005198835,-0.254663473264668
"MsFmP6wdnCIMDOShVnvZ",2,"fcDC","reg","G2404",75,0.125,-0.460630778810164,NA
"nvEdRy29lvIepo6irKSa",2,"fcBA","reg","C47",70,0.98,0.914878156910322,NA
"nvEdRy29lvIepo6irKSa",2,"fcBA","reg","M7949",71,1.0082,0.1359850641451,NA
"TP6Rekgd2IbyVfqjO2tp",2,"fcDC","reg","G2404",91,0.0162,-0.745901362538145,NA
"Rq5U9Lz0pF3xtvZkt1Ux",2,"fcDC","reg","G2404",81,0.0722,-0.599070915031096,NA
"vUNlbVbzGuUdf0RQhjl2",2,"fcBA","reg","C47",35,0.245,-0.493389988842677,NA
"vUNlbVbzGuUdf0RQhjl2",2,"fcBA","reg","M7949",75,1.125,0.332316524110746,NA
"QMFZxe3WbmxMlJ9c7oxx",2,"fcED","reg","G1472",60,0.72,0.735771011303915,NA
"QMFZxe3WbmxMlJ9c7oxx",2,"fcED","reg","G1948",90,0.02,-1.08271587544712,NA
"gwfb91tqDWXbpOi8L2tf",2,"fcED","reg","G1472",24,0.1152,-0.55341453384194,NA
"gwfb91tqDWXbpOi8L2tf",2,"fcED","reg","G1948",50,0.5,-0.380634755855996,NA
"2iVCvt2uDG7ilHZmkqP2",2,"fcBA","reg","C47",60,0.72,0.416715275419466,NA
"2iVCvt2uDG7ilHZmkqP2",2,"fcBA","reg","M7949",95,1.805,1.47534214719841,NA
"713sXb02mkrHAlE48iCz",2,"fcED","reg","G1472",20,0.08,-0.628446496786937,NA
"713sXb02mkrHAlE48iCz",2,"fcED","reg","G1948",5,1.805,1.52814828803237,NA
"rHoyDZKUzkS6LFeBuzf5",2,"fcDC","reg","G2404",71,0.1682,-0.347361576447583,NA
"3hT6jBPVahtgMDOshUCe",2,"fcED","reg","G1472",4,0.0032,-0.79215259775784,NA
"3hT6jBPVahtgMDOshUCe",2,"fcED","reg","G1948",25,1.125,0.533533368611611,NA
"mlhVFjOIFIcEw15BvvUI",2,"fcCB","reg","G1920",5,1.805,1.9288325683694,NA
"mlhVFjOIFIcEw15BvvUI",2,"fcCB","reg","G2006",30,0.98,0.538834791193554,NA
"F2DvteunZgYFdBB0EK9W",2,"fcAE","reg","C1039",58,0.3528,-0.999359721894126,NA
"F2DvteunZgYFdBB0EK9W",2,"fcAE","reg","G2063",81,0.0722,-0.298659536297722,NA
"mz5gJk7Bysn1ctNZy9nb",2,"fcCB","reg","G1920",60,0.32,-0.712724748269082,NA
"mz5gJk7Bysn1ctNZy9nb",2,"fcCB","reg","G2006",35,0.845,0.268869403840076,NA
"UzgNwCP2klyuj9Bvt9ux",2,"fcED","reg","G1472",72,1.0368,1.41105867780889,NA
"UzgNwCP2klyuj9Bvt9ux",2,"fcED","reg","G1948",28,1.0368,0.404525962886742,NA
"j3DeFL58jegIOcc4x1ND",2,"fcBA","reg","C47",15,0.045,-0.876592205374106,NA
"j3DeFL58jegIOcc4x1ND",2,"fcBA","reg","M7949",60,0.72,-0.348456089639997,NA
"kiTl14IWGtRXdVVJmZgD",2,"fcCB","reg","G1920",39,0.7442,0.0418534427868406,NA
"kiTl14IWGtRXdVVJmZgD",2,"fcCB","reg","G2006",44,0.6272,-0.166674754423535,NA
"ygxBN9910T1HBGPCCIt2",2,"fcED","reg","G1472",12,0.0288,-0.737583897434205,NA
"ygxBN9910T1HBGPCCIt2",2,"fcED","reg","G1948",70,0.18,-0.848688835583411,NA
"ItE5RZJzDMaydeYzryZK",2,"fcDC","reg","G2404",98,0.000800000000000001,-0.786279735602583,NA
"5KVDGaVVAHsiHJMjLWGH",2,"fcAE","reg","C1039",26,1.0952,0.0624971438969905,NA
"5KVDGaVVAHsiHJMjLWGH",2,"fcAE","reg","G2063",36,0.8192,2.86712244202342,NA
"0FX5rBebJhUn0z8tQid9",2,"fcBA","reg","C47",30,0.18,-0.617930709215391,NA
"0FX5rBebJhUn0z8tQid9",2,"fcBA","reg","M7949",90,1.62,1.16437194091721,NA
"ASNPnjJhR3uNgopLHQ9Y",2,"fcCB","reg","G1920",70,0.18,-0.961760454888198,NA
"ASNPnjJhR3uNgopLHQ9Y",2,"fcCB","reg","G2006",40,0.72,0.0189014525868558,NA
"Je7hQucSMLQWqrCCwqTD",2,"fcED","reg","G1472",50,0.5,0.266821242897684,NA
"Je7hQucSMLQWqrCCwqTD",2,"fcED","reg","G1948",10,1.62,1.25755452318996,NA
"jNBKatcwaUXY3CsYCnbg",2,"fcAE","reg","C1039",78,0.0968,-1.3655172618221,NA
"jNBKatcwaUXY3CsYCnbg",2,"fcAE","reg","G2063",100,0,-0.60464274758927,NA
"XcEGK0YT24vUTt758M2g",2,"fcCB","reg","G1920",47,0.5618,-0.282604506408351,NA
"XcEGK0YT24vUTt758M2g",2,"fcCB","reg","G2006",73,0.1458,-1.12935132828994,NA
"omfSFxzu7MrjjSSafj2q",2,"fcCB","reg","G1920",22,1.2168,0.882526835273943,NA
"omfSFxzu7MrjjSSafj2q",2,"fcCB","reg","G2006",40,0.72,0.0189014525868558,NA
"48JkxisEdAAEeppMKmgs",2,"fcBA","reg","C47",25,0.125,-0.723311318761534,NA
"48JkxisEdAAEeppMKmgs",2,"fcBA","reg","M7949",80,1.28,0.592859129373377,NA
"1wKWKuWmqqmvNAmw1RqQ",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"1wKWKuWmqqmvNAmw1RqQ",2,"fcAE","reg","G2063",98,0.000800000000000001,-0.601252351896289,NA
"6ai9fIKVjoeI2vz5lgF5",2,"fcBA","reg","C47",83,1.3778,1.67706736559133,NA
"6ai9fIKVjoeI2vz5lgF5",2,"fcBA","reg","M7949",75,1.125,0.332316524110746,NA
"g7rIRsOq2kkH8pYaz7fR",2,"fcAE","reg","C1039",5,1.805,1.0777261354629,NA
"g7rIRsOq2kkH8pYaz7fR",2,"fcAE","reg","G2063",65,0.245,0.433665933386204,NA
"SEabyz9Vya7xSk90h7WN",2,"fcBA","reg","C47",93,1.7298,2.35150326668665,NA
"SEabyz9Vya7xSk90h7WN",2,"fcBA","reg","M7949",88,1.5488,1.0446904344998,NA
"UpCXiaZ8iZxNNKqYbd3B",2,"fcED","reg","G1472",31,0.1922,-0.38928211489976,NA
"UpCXiaZ8iZxNNKqYbd3B",2,"fcED","reg","G1948",88,0.0288,-1.06984438825461,NA
"H1ZWXyVtnQuMt6kjEf1X",2,"fcBA","reg","C47",37,0.2738,-0.438208869662151,NA
"H1ZWXyVtnQuMt6kjEf1X",2,"fcBA","reg","M7949",92,1.6928,1.28674291938895,NA
"Qic7eO9OFexru0SPkoaV",2,"fcED","reg","G1472",20,0.08,-0.628446496786937,NA
"Qic7eO9OFexru0SPkoaV",2,"fcED","reg","G1948",100,0,-1.11196925543008,NA
"YHFbRs7SQ4hFsRbfcG8d",2,"fcCB","reg","G1920",2,1.9208,2.13482067427293,NA
"YHFbRs7SQ4hFsRbfcG8d",2,"fcCB","reg","G2006",36,0.8192,0.217276018701412,NA
"dDr1YyBAyPfLjg9qDv1Y",2,"fcDC","reg","G2404",53,0.4418,0.370010038515428,NA
"WAWHoPe5JEKCIYk7egYV",2,"fcBA","reg","C47",37,0.2738,-0.438208869662151,NA
"WAWHoPe5JEKCIYk7egYV",2,"fcBA","reg","M7949",68,0.9248,-0.00420366668653441,NA
"MVHcDME931E94rnJdXDH",2,"fcED","reg","G1472",20,0.08,-0.628446496786937,NA
"MVHcDME931E94rnJdXDH",2,"fcED","reg","G1948",10,1.62,1.25755452318996,NA
"8AcDHk4eXDDaZAtdlBsu",2,"fcAE","reg","C1039",3,1.8818,1.1875733974413,NA
"8AcDHk4eXDDaZAtdlBsu",2,"fcAE","reg","G2063",92,0.0128,-0.550396416501572,NA
"yceiAnl0ceWjKibWwUt8",2,"fcCB","reg","G1920",60,0.32,-0.712724748269082,NA
"yceiAnl0ceWjKibWwUt8",2,"fcCB","reg","G2006",20,1.28,1.13875787420128,NA
"M0Uj6L1r76s383Di6apI",2,"fcCB","reg","G1920",50,0.5,-0.392535982615932,NA
"M0Uj6L1r76s383Di6apI",2,"fcCB","reg","G2006",85,0.045,-1.33092548418053,NA
"sCZWBUoMXgVeR1I2vHPG",2,"fcCB","reg","G1920",100,0,-1.28194922054135,NA
"sCZWBUoMXgVeR1I2vHPG",2,"fcCB","reg","G2006",63,0.2738,-0.87338414620664,NA
"2Vwn0iIcQkFTqO8avFu2",2,"fcAE","reg","C1039",95,0.00500000000000001,-1.49681906715564,NA
"2Vwn0iIcQkFTqO8avFu2",2,"fcAE","reg","G2063",90,0.02,-0.519882855264742,NA
