trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,group,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,custom_timer_ended_trial,interval_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_admc_rc2,task_time_series,task_impossible_question,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_graph_literacy,task_berlin_numeracy,task_admc_dr,task_coherence_forecasting,task_cognitive_reflection,task_admc_a1,task_number_series,task_leapfrog,task_raven_matrix,stimulus,slider_start,response,slider_moved,admc_id,admc_response,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,question_order,BNS_1,BNS_2,BNS_3,BNS_4,moved_sliders,cfs_id,cfs_response,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,ns_id,ns_response,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,list_id
html-keyboard-response,135,1213809,0.0-13.0-5.0-0.0-2.4,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,136,1214110,0.0-13.0-5.0-0.0-0.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,137,1215544,0.0-13.0-5.0-0.0-1.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,1433.0,False,123.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,True,0.0,5.0,,,,,,,,,,,,,,A,conflict,array,array,small,large,0.1,0.02,10.0,400.0,1.0,8.0,9.0,392.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,138,1216546,0.0-13.0-5.0-0.0-2.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,139,1216847,0.0-13.0-5.0-0.0-0.6,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,140,1221176,0.0-13.0-5.0-0.0-1.6,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,4329.0,False,126.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,True,0.0,6.0,,,,,,,,,,,,,,A,harmony,array,array,large,small,0.15,0.1,400.0,10.0,60.0,1.0,340.0,9.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,141,1222178,0.0-13.0-5.0-0.0-2.6,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,142,1222479,0.0-13.0-5.0-0.0-0.7,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,143,1223504,0.0-13.0-5.0-0.0-1.7,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,1024.0,False,129.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,True,0.0,7.0,,,,,,,,,,,,,,A,conflict,array,text,large,small,0.18,0.2,400.0,10.0,72.0,2.0,328.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,144,1224505,0.0-13.0-5.0-0.0-2.7,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,145,1232912,0.0-13.0-6.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,"[{'page_index': 0, 'viewing_time': 8406}]",8406.0,False,131.0,,,,,,,,,,,,dn_test_trials_instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,146,1233218,0.0-13.0-7.0-0.0-0.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,147,1234576,0.0-13.0-7.0-0.0-1.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,1357.0,False,133.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,False,0.0,0.0,,,,,,,,,,,,,,A,harmony,array,array,large,small,0.35,0.3,400.0,10.0,140.0,3.0,260.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,148,1235577,0.0-13.0-7.0-0.0-2.0,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,149,1235879,0.0-13.0-7.0-0.0-0.1,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,150,1239240,0.0-13.0-7.0-0.0-1.1,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,3360.0,False,136.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,False,0.0,1.0,,,,,,,,,,,,,,A,harmony,text,array,small,large,0.3,0.31,10.0,400.0,3.0,124.0,7.0,276.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,151,1240241,0.0-13.0-7.0-0.0-2.1,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,152,1240543,0.0-13.0-7.0-0.0-0.2,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,153,1244792,0.0-13.0-7.0-0.0-1.2,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,4248.0,False,139.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,2.0,,,,,,,,,,,,,,A,harmony,text,array,large,small,0.15,0.1,400.0,10.0,60.0,1.0,340.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,154,1245794,0.0-13.0-7.0-0.0-2.2,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,155,1246095,0.0-13.0-7.0-0.0-0.3,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,156,1250376,0.0-13.0-7.0-0.0-1.3,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,4280.0,False,142.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,3.0,,,,,,,,,,,,,,A,harmony,array,array,large,small,0.16,0.1,400.0,10.0,64.0,1.0,336.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,157,1251378,0.0-13.0-7.0-0.0-2.3,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,158,1251679,0.0-13.0-7.0-0.0-0.4,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,159,1253209,0.0-13.0-7.0-0.0-1.4,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,1528.0,False,145.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowleft,,,,,,False,0.0,4.0,,,,,,,,,,,,,,A,conflict,array,array,small,large,0.2,0.12,10.0,400.0,2.0,48.0,8.0,352.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,160,1254210,0.0-13.0-7.0-0.0-2.4,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,161,1254511,0.0-13.0-7.0-0.0-0.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,162,1257281,0.0-13.0-7.0-0.0-1.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,2769.0,False,148.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",,arrowright,,,,,,False,0.0,5.0,,,,,,,,,,,,,,A,conflict,array,text,large,small,0.17,0.2,400.0,10.0,68.0,2.0,332.0,8.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,163,1258283,0.0-13.0-7.0-0.0-2.5,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,164,1258584,0.0-13.0-7.0-0.0-0.6,jrnhmVKt7CnPWS0OWMII,33ff78,2,2.0,p5bY6MRaajBlnoMdRAvyO5gMIh,FlM4FSUMkEHPKmT4SX01bQ7Xr5,1920.0,1080.0,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
