"session_id","trinary_A","trinary_B","trinary_C","trinary_AB","trinary_BC","binary_statepop1","binary_statearea1","binary_gdp1","binary_statepop2","binary_statearea2","binary_gdp2","time1","time2","time3","time4","time5","time6","space1","space2","space3","space4","space5","space6","confidence_interval1","confidence_interval2","confidence_interval3","tri1_abc","tri1_ab","tri1_bc","bin1","bin2","bin3","t1","t2","s1","s2","ci1","score_mean"
"TCZ7YicZoM97Lv5DDyHjPLvTSF",0.41,0.6,0.81,0.3,0.71,0.51,0.68,0.6,0.54,0.55,0.55,0.61,0.54,0.49,0.41,0.51,0.5,0.45,0.48,0.47,0.49,0.62,0.36,0.6,0.52,0.59,0.59,0.29,0.3,0.95,0.77,0.85,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.522727272727273
"tEjcqB4bSBJ2YaT4VFaXolM3fy",0.2,0.3,0.49,0.3,0.39,0.59,0.2,0.59,0.11,0.19,0.09,0.15,0.1,0.08,0.29,0.35,0.35,0.5,0.77,0.92,0.12,0.2,0.29,0.11,0.23,0.33,0.995,0.8,0.6,0.7,0.39,0.68,0,0.908248290463863,1,1,1,0.733931662769442
"tFpe07kxydQK5IAmasZweAGrxz",0.2,0.3,0.99,0.13,0.89,0.9,0.9,0.6,0.08,0.1,0.39,0.29,0.39,0.4,0.19,0.24,0.28,0.32,0.5,0.64,0.19,0.2,0.3,0.99,0.9,0.9,0.755,0.63,0.6,0.98,1,0.99,1,1,1,1,0.0917517095361369,0.822431973594194
"TI56rNgsNs2iQ76wAZ48zi1aGT",0.1,0.14,0.8,0.06,1,1,0.51,0.71,1,0.49,0.61,0.71,0.7,0.51,0.09,0.28,0.37,0.89,1,0.7,0.21,0.23,0.5,0.29,0.77,0.95,0.98,0.82,0.94,0,1,0.68,0,1,0.333333333333333,1,1,0.704848484848485
"TiBGM94VeSk4dvUn8RG4dqyRVS",0.1,0.29,0.72,0.2,0.89,0.69,0.19,0.59,0.2,0.7,0.39,0.49,0.59,0.7,0.1,0.39,0.49,0.7,0.79,1,0.39,0.49,0.69,0.49,0.6,0.69,0.945,0.81,0.88,0.89,0.89,0.98,1,1,1,1,1,0.945
"TIqAfRcEFRzbjuuRzK9KrXwGww",0.27,0.35,0.8,0.31,0.95,0.71,0.4,0.65,0.31,0.55,0.39,0.21,0.4,0.6,0.49,0.84,0.95,0.4,0.49,0.8,0.3,0.39,0.8,0.7,0.79,0.89,0.79,0.69,0.8,0.98,0.95,0.96,1,1,1,1,1,0.924545454545455
"TkYRHzwzuGdtaUaiSoEEsRvovV",1,1,1,0.5,1,0.79,0.9,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.25,0.25,0.25,1,1,1,1,1,1,0.49,0.49,0.49,0,-0.5,0,0.72,0.61,0.98,0.5,0.5,0.5,0.5,0.5,0.391818181818182
"TLAAGRzAYUhuEDmQuBkXrAGzB1",0.01,0.02,1,0,1,0,0,0,0.09,0,0,0.51,0.37,0.21,0.89,0.91,0.91,0.9,0.9,0.91,0.69,0.78,0.82,0.95,0.95,0.97,0.985,0.97,0.98,0.09,0,0,0,0.908248290463863,0.908248290463863,1,0.908248290463863,0.613613170126508
"tn8iqrSWjgvZoA2Ieb5oeU8KIZ",0.09,0.2,0.8,0.7,0.89,1,1,0.9,0,0,0.09,0.15,0.3,0.35,1,1,1,0.89,1,1,0.4,0.7,0.8,1,1,1,0.955,0.59,0.89,1,1,0.99,1,0.5,0.908248290463863,1,0.5,0.848477117314897
"TpX0kThliJf1KaV0WG3VrAJpud",0.4,0.53,0.76,0.13,0.99,0.92,0.28,0.75,0.15,0.17,0.18,0.15,0.23,0.29,0.09,0.21,0.32,0.75,0.92,0.96,0.51,0.68,0.88,0.71,0.61,0.79,0.655,0.2,0.7,0.93,0.45,0.93,1,1,1,1,0.666666666666667,0.775606060606061
