"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","rt","cfs_id","cfs_response"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2053797,157,FALSE,39416,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['100', '66', '20']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2067671,158,FALSE,13868,"['time1', 'time2', 'time3']","['82', '95', '100']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2080866,159,FALSE,13190,"['time4', 'time5', 'time6']","['30', '41', '52']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2102929,160,FALSE,22057,"['space1', 'space2', 'space3']","['30', '39', '100']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2121712,161,FALSE,18778,"['space4', 'space5', 'space6']","['38', '57', '89']"
"02QWkclNXRGICktZzGbALKgOXn","0LA5VsQ6bM4SkkRpi1z7Y9kiys",2135565,162,FALSE,13848,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['29', '64', '89']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",430046,20,TRUE,101013,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['38', '29', '12', '11', '8']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",491719,21,TRUE,61646,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['67', '0', '0']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",524484,22,FALSE,32733,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['51', '29', '18']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",585526,23,TRUE,61022,"['time1', 'time2', 'time3']","['0', '0', '0']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",646702,24,TRUE,61154,"['time4', 'time5', 'time6']","['0', '0', '0']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",1972393,25,FALSE,353901,"['space1', 'space2', 'space3']","['9', '22', '69']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",1984612,26,FALSE,12196,"['space4', 'space5', 'space6']","['35', '58', '98']"
"08JvGfUwcNXzbgM6Uw9OTeVzMT","p5DBfZUaAeVH1hR4mBTZ7aU6OE",2032626,27,FALSE,47996,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['100', '100', '100']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1416924,167,FALSE,96079,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['2', '6', '90', '9', '94']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1469944,168,FALSE,53009,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['70', '68', '59']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1482046,169,FALSE,12094,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['29', '31', '41']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1536781,170,FALSE,54729,"['time1', 'time2', 'time3']","['2', '6', '10']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1592469,171,FALSE,55682,"['time4', 'time5', 'time6']","['19', '36', '49']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1635210,172,FALSE,42736,"['space1', 'space2', 'space3']","['69', '90', '99']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1676844,173,FALSE,41627,"['space4', 'space5', 'space6']","['14', '49', '99']"
"09Sw3t0YLj302lra5gkQlLEMwE","tSVr1jFY0oLEEbRYQciHBJ7oTh",1732433,174,FALSE,55582,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['90', '92', '94']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1735391,576,FALSE,42907,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['37', '43', '54', '47', '54']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1764279,577,FALSE,28882,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['66', '67', '84']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1787932,578,FALSE,23649,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['33', '35', '20']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1806192,579,FALSE,18255,"['time1', 'time2', 'time3']","['9', '14', '16']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1818601,580,FALSE,12405,"['time4', 'time5', 'time6']","['69', '81', '89']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1839513,581,FALSE,20907,"['space1', 'space2', 'space3']","['74', '100', '100']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1861201,582,FALSE,21684,"['space4', 'space5', 'space6']","['60', '91', '100']"
"0bjDzRkHTDdAUc8E3JPJxkyVYK","zsBfeBSdE7vxtgIbfVOykEXPpx",1893386,583,FALSE,32180,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['74', '85', '95']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",91026,12,FALSE,47641,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['0', '0', '100', '0', '100']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",130271,13,FALSE,39207,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['53', '100', '82']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",166989,14,FALSE,36708,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['35', '0', '0']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",185572,15,FALSE,18565,"['time1', 'time2', 'time3']","['27', '31', '37']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",211678,16,FALSE,26099,"['time4', 'time5', 'time6']","['90', '100', '100']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",234394,17,FALSE,22709,"['space1', 'space2', 'space3']","['91', '100', '100']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",255671,18,FALSE,21269,"['space4', 'space5', 'space6']","['58', '92', '100']"
"0d3KNfQfPK5yzhZRUP0U1M47yp","RSiqpywAKT7f8wv1Igns83P72Y",304514,19,FALSE,48834,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['88', '90', '92']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1482892,147,FALSE,60754,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['4', '4', '90', '9', '95']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1531964,148,FALSE,49036,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['45', '65', '90']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1548552,149,FALSE,16571,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['55', '35', '10']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1593016,150,FALSE,44456,"['time1', 'time2', 'time3']","['3', '12', '25']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1625391,151,FALSE,32371,"['time4', 'time5', 'time6']","['3', '7', '15']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1648665,152,FALSE,23268,"['space1', 'space2', 'space3']","['98', '99', '100']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1679771,153,FALSE,31100,"['space4', 'space5', 'space6']","['3', '19', '49']"
"0DbPC3sk9u2UC1A1OXELSFZqk4","c2GIWn9emVoP44rKyARiF4oCTC",1719824,154,FALSE,40048,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['96', '98', '99']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",232904,21,FALSE,47447,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['20', '39', '70', '19', '88']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",260572,22,FALSE,27657,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['100', '50', '63']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",289042,23,FALSE,28461,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['0', '50', '36']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",308943,24,FALSE,19895,"['time1', 'time2', 'time3']","['29', '52', '63']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",326262,25,FALSE,17311,"['time4', 'time5', 'time6']","['30', '40', '50']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",353781,26,FALSE,27513,"['space1', 'space2', 'space3']","['90', '100', '100']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",375917,27,FALSE,22128,"['space4', 'space5', 'space6']","['40', '54', '89']"
"0f9yzMMlcjFihBIVm43sUQOq5N","qhl8ukQCrx6MDit5YdxfmugO0f",396069,28,FALSE,20145,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['28', '47', '60']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1552206,153,FALSE,56847,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['74', '76', '45', '64', '55']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1579314,154,FALSE,27077,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['67', '42', '83']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1606392,155,FALSE,27063,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['32', '64', '24']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1629555,156,FALSE,23144,"['time1', 'time2', 'time3']","['63', '72', '83']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1647557,157,FALSE,17997,"['time4', 'time5', 'time6']","['24', '33', '44']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1678729,158,FALSE,31165,"['space1', 'space2', 'space3']","['45', '72', '87']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1700300,159,FALSE,21562,"['space4', 'space5', 'space6']","['71', '83', '86']"
"0G6inFq7heMyKnrLpeL72Oc0x2","yAgyeF8QHnbs6LcNXkA9cjYtRu",1733479,160,FALSE,33172,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['67', '78', '90']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22503169,653,TRUE,101969,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['50', '20', '50', '49', '69']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22561281,654,FALSE,58105,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['94', '41', '79']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22575134,655,FALSE,13850,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['3', '59', '10']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22630678,656,FALSE,55538,"['time1', 'time2', 'time3']","['1', '4', '8']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22648705,657,FALSE,18023,"['time4', 'time5', 'time6']","['15', '26', '35']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22691979,658,FALSE,43270,"['space1', 'space2', 'space3']","['70', '88', '99']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22720848,659,FALSE,28866,"['space4', 'space5', 'space6']","['1', '14', '72']"
"0iWhbvxyvGhSXx6Vwq7cOzsX5P","X1rytSlURdcGMLSBZf6jwNoXUe",22782223,660,TRUE,61370,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['44', '57', '79']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",71069,12,FALSE,50603,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['10', '21', '69', '32', '49']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",92137,13,FALSE,21065,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['59', '60', '79']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",110327,14,FALSE,18187,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['4', '15', '30']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",123384,15,FALSE,13054,"['time1', 'time2', 'time3']","['59', '80', '70']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",138526,16,FALSE,15139,"['time4', 'time5', 'time6']","['70', '89', '79']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",155021,17,FALSE,16493,"['space1', 'space2', 'space3']","['91', '100', '100']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",168729,18,FALSE,13706,"['space4', 'space5', 'space6']","['59', '79', '80']"
"0jtfnPUyl2KfOkrH6EawIfcZrU","stUKpNW3Mk2vv5Oc72ghXZyNnT",183581,19,FALSE,14851,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['70', '49', '60']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1669240,198,FALSE,30721,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['40', '50', '90', '11', '94']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1687798,199,FALSE,18554,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['70', '19', '74']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1702549,200,FALSE,14748,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['10', '39', '20']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1717942,201,FALSE,15390,"['time1', 'time2', 'time3']","['15', '21', '35']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1729734,202,FALSE,11790,"['time4', 'time5', 'time6']","['10', '12', '15']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1745086,203,FALSE,15350,"['space1', 'space2', 'space3']","['54', '71', '95']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1760740,204,FALSE,15651,"['space4', 'space5', 'space6']","['13', '31', '70']"
"0lONQy80IYyb7sgqnX55uzWGpk","OM503ekApHW2kf5At0wdsuS96N",1778455,205,FALSE,17712,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['30', '43', '70']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106876021,1236,FALSE,56047,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['11', '19', '89', '0', '100']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106916450,1237,FALSE,40422,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['80', '49', '81']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106944724,1238,FALSE,28266,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['1', '49', '2']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106966097,1239,FALSE,21367,"['time1', 'time2', 'time3']","['50', '74', '94']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",106986932,1240,FALSE,20827,"['time4', 'time5', 'time6']","['10', '29', '49']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",107018457,1241,FALSE,31517,"['space1', 'space2', 'space3']","['70', '71', '100']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",107050685,1242,FALSE,32223,"['space4', 'space5', 'space6']","['50', '90', '100']"
"0MRkDC9OIj6neflPX1YCGTovn9","vAE6zLm4ydsdwHl2dEf8dPgmJl",107088994,1243,FALSE,38301,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['10', '20', '49']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",777968,95,FALSE,52068,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['0', '0', '100', '0', '100']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",914818,96,FALSE,136847,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['71', '60', '90']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",957038,97,FALSE,42206,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['19', '30', '40']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",1004718,98,FALSE,47676,"['time1', 'time2', 'time3']","['30', '20', '30']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",1037929,99,FALSE,33203,"['time4', 'time5', 'time6']","['80', '70', '79']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",1083820,100,FALSE,45881,"['space1', 'space2', 'space3']","['10', '10', '10']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",1123695,101,FALSE,39868,"['space4', 'space5', 'space6']","['4', '70', '90']"
"0muiSaKLm83R3IxO8bShtR5IvR","hjDpOypaLa3CKrAaFVihmBzufm",1184711,102,TRUE,61009,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['70', '60', '0']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3724434,1102,FALSE,91789,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['9', '29', '69', '29', '80']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3785446,1103,TRUE,61003,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['75', '100', '20']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3820000,1104,FALSE,34549,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['10', '0', '79']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3881004,1105,TRUE,61001,"['time1', 'time2', 'time3']","['30', '49', '59']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3911783,1106,FALSE,30774,"['time4', 'time5', 'time6']","['39', '55', '75']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",3969651,1107,FALSE,57864,"['space1', 'space2', 'space3']","['67', '80', '100']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",4025353,1108,FALSE,55698,"['space4', 'space5', 'space6']","['45', '65', '80']"
"0nvFj8VxK1Hq2p7OWf9G7eoPjS","q7kGXvwxXjffBfPSfqAO1WnxIh",4086360,1109,TRUE,61003,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['100', '79', '89']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1337931,662,FALSE,58519,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['2', '6', '67', '34', '87']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1362280,663,FALSE,24345,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['71', '63', '54']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1388507,664,FALSE,26225,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['66', '38', '32']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1417167,665,FALSE,28657,"['time1', 'time2', 'time3']","['8', '12', '18']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1433784,666,FALSE,16615,"['time4', 'time5', 'time6']","['50', '66', '81']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1452790,667,FALSE,19004,"['space1', 'space2', 'space3']","['59', '76', '100']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1472648,668,FALSE,19856,"['space4', 'space5', 'space6']","['34', '49', '75']"
"0o9HmsRAeWW6hOa4qWA3aiYgGk","D7gyRawJwSofJEPuvjB5TvoiYI",1496105,669,FALSE,23455,"['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['35', '55', '67']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4123380,1199,FALSE,47680,"['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['0', '100', '100', '2', '100']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4159691,1200,FALSE,36307,"['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['100', '99', '99']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4178951,1201,FALSE,19254,"['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['88', '16', '71']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4199360,1202,FALSE,20403,"['time1', 'time2', 'time3']","['95', '84', '92']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4214226,1203,FALSE,14864,"['time4', 'time5', 'time6']","['73', '84', '93']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4223550,1204,FALSE,9321,"['space1', 'space2', 'space3']","['83', '90', '98']"
"0oOc4trw2RuVUTJzHPoOiPutvD","haWvNox37toJMmbkUs8RvGxTDT",4233784,1205,FALSE,10228,"['space4', 'space5', 'space6']","['77', '83', '94']"
