"session_id","curr_block_ind","pt_trial_prediction"
"0DbPC3sk9u2UC1A1OXELSFZqk4",3,4
"0DbPC3sk9u2UC1A1OXELSFZqk4",99,10
"0DEZ1s0f0nL0RnrJSeHg0aGp5O",1,5
"0DEZ1s0f0nL0RnrJSeHg0aGp5O",2,2
"0DEZ1s0f0nL0RnrJSeHg0aGp5O",3,3
"0DEZ1s0f0nL0RnrJSeHg0aGp5O",99,3
"0f9yzMMlcjFihBIVm43sUQOq5N",1,5
"0f9yzMMlcjFihBIVm43sUQOq5N",2,2
"0f9yzMMlcjFihBIVm43sUQOq5N",3,2
"0f9yzMMlcjFihBIVm43sUQOq5N",99,2
"0G6inFq7heMyKnrLpeL72Oc0x2",1,5
"0G6inFq7heMyKnrLpeL72Oc0x2",2,4
"0G6inFq7heMyKnrLpeL72Oc0x2",3,1
"0G6inFq7heMyKnrLpeL72Oc0x2",99,0
"0gUy8npz5GjwfN9oGmScOumKJ6",1,1
"0gUy8npz5GjwfN9oGmScOumKJ6",2,2
"0gUy8npz5GjwfN9oGmScOumKJ6",3,0
"0gUy8npz5GjwfN9oGmScOumKJ6",99,1
"0GwhdS5QTk1z6AOW2zROrpS4Dz",1,10
"0GwhdS5QTk1z6AOW2zROrpS4Dz",2,13
"0GwhdS5QTk1z6AOW2zROrpS4Dz",3,8
"0GwhdS5QTk1z6AOW2zROrpS4Dz",99,6
"0iDjEfaVVovRIRwOd2LRACKp6p",1,5
"0iDjEfaVVovRIRwOd2LRACKp6p",2,10
"0iDjEfaVVovRIRwOd2LRACKp6p",3,5
"0iDjEfaVVovRIRwOd2LRACKp6p",99,15
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",1,4
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",2,4
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",3,4
"0iWhbvxyvGhSXx6Vwq7cOzsX5P",99,3
"0j4k6YJS8JEFyFDvqdEyTmAoHU",1,NA
"0j4k6YJS8JEFyFDvqdEyTmAoHU",2,3
"0j4k6YJS8JEFyFDvqdEyTmAoHU",3,1
"0j4k6YJS8JEFyFDvqdEyTmAoHU",99,3
"0JATTVloQDUPcURXgFRCR2xTNZ",1,60
"0JATTVloQDUPcURXgFRCR2xTNZ",2,40
"0JATTVloQDUPcURXgFRCR2xTNZ",3,90
"0JATTVloQDUPcURXgFRCR2xTNZ",99,80
"0jse7la9qJsHrckhn7FWUDhLOi",1,3
"0jse7la9qJsHrckhn7FWUDhLOi",2,2
"0jse7la9qJsHrckhn7FWUDhLOi",3,3
"0jse7la9qJsHrckhn7FWUDhLOi",99,20
"0jtfnPUyl2KfOkrH6EawIfcZrU",1,10
"0jtfnPUyl2KfOkrH6EawIfcZrU",2,2
"0jtfnPUyl2KfOkrH6EawIfcZrU",3,5
"0jtfnPUyl2KfOkrH6EawIfcZrU",99,3
"0lONQy80IYyb7sgqnX55uzWGpk",1,1
"0lONQy80IYyb7sgqnX55uzWGpk",2,2
"0lONQy80IYyb7sgqnX55uzWGpk",3,1
"0lONQy80IYyb7sgqnX55uzWGpk",99,3
"0MKKSANshRTeskZx0TrUZtDeuY",1,3
"0MKKSANshRTeskZx0TrUZtDeuY",2,3
"0MKKSANshRTeskZx0TrUZtDeuY",3,2
"0MKKSANshRTeskZx0TrUZtDeuY",99,10
"0MRkDC9OIj6neflPX1YCGTovn9",1,50
"0MRkDC9OIj6neflPX1YCGTovn9",2,60
"0MRkDC9OIj6neflPX1YCGTovn9",3,50
"0MRkDC9OIj6neflPX1YCGTovn9",99,70
"0muiSaKLm83R3IxO8bShtR5IvR",1,10
"0muiSaKLm83R3IxO8bShtR5IvR",2,15
"0muiSaKLm83R3IxO8bShtR5IvR",3,10
"0muiSaKLm83R3IxO8bShtR5IvR",99,16
"0n2j2Y1nH0v16ERGCb74llMutm",1,4
"0n2j2Y1nH0v16ERGCb74llMutm",2,3
"0n2j2Y1nH0v16ERGCb74llMutm",3,4
"0n2j2Y1nH0v16ERGCb74llMutm",99,25
"0NDXuhn5pY8iG9LkLzwpnpkmsU",1,5
"0NDXuhn5pY8iG9LkLzwpnpkmsU",2,3
"0NDXuhn5pY8iG9LkLzwpnpkmsU",3,3
"0NDXuhn5pY8iG9LkLzwpnpkmsU",99,3
"0nvFj8VxK1Hq2p7OWf9G7eoPjS",1,3
"0nvFj8VxK1Hq2p7OWf9G7eoPjS",2,3
"0nvFj8VxK1Hq2p7OWf9G7eoPjS",3,3
"0nvFj8VxK1Hq2p7OWf9G7eoPjS",99,5
"0o9HmsRAeWW6hOa4qWA3aiYgGk",1,1
"0o9HmsRAeWW6hOa4qWA3aiYgGk",2,3
"0o9HmsRAeWW6hOa4qWA3aiYgGk",3,4
"0o9HmsRAeWW6hOa4qWA3aiYgGk",99,3
"0oOc4trw2RuVUTJzHPoOiPutvD",1,85
"0oOc4trw2RuVUTJzHPoOiPutvD",2,78
"0oOc4trw2RuVUTJzHPoOiPutvD",3,85
"0oOc4trw2RuVUTJzHPoOiPutvD",99,65
"0PGSj6vBGEWDIv52s0FmG8v3dC",1,5
"0PGSj6vBGEWDIv52s0FmG8v3dC",2,4
"0PGSj6vBGEWDIv52s0FmG8v3dC",3,3
"0PGSj6vBGEWDIv52s0FmG8v3dC",99,6
"0PtrKyW9Qq4OrbYnTINnC15Quo",1,2
"0PtrKyW9Qq4OrbYnTINnC15Quo",2,1
"0PtrKyW9Qq4OrbYnTINnC15Quo",3,2
"0PtrKyW9Qq4OrbYnTINnC15Quo",99,2
"0Q3B6QXM9FjB9K71ctmP088i3r",1,99
"0Q3B6QXM9FjB9K71ctmP088i3r",2,10
"0Q3B6QXM9FjB9K71ctmP088i3r",3,99
"0Q3B6QXM9FjB9K71ctmP088i3r",99,10
"0Qe0NO7DVDiFBjxwEPx3EWpX8x",1,80
"0Qe0NO7DVDiFBjxwEPx3EWpX8x",2,75
"0Qe0NO7DVDiFBjxwEPx3EWpX8x",3,4
"0Qe0NO7DVDiFBjxwEPx3EWpX8x",99,5
"0qhwNPBkRLnN5VgpoCWSHQbZNZ",1,6
"0qhwNPBkRLnN5VgpoCWSHQbZNZ",2,5
"0qhwNPBkRLnN5VgpoCWSHQbZNZ",3,4
"0qhwNPBkRLnN5VgpoCWSHQbZNZ",99,4
"0r6s9iLCLLkfi2hIZx5Vsdz5Og",1,3
"0r6s9iLCLLkfi2hIZx5Vsdz5Og",2,2
"0r6s9iLCLLkfi2hIZx5Vsdz5Og",3,7
"0r6s9iLCLLkfi2hIZx5Vsdz5Og",99,6
"0ry0GXGC6ZGkE23J4k14skcsHW",1,5
"0ry0GXGC6ZGkE23J4k14skcsHW",2,10
"0ry0GXGC6ZGkE23J4k14skcsHW",3,5
"0ry0GXGC6ZGkE23J4k14skcsHW",99,20
"0TFBuVyddzHaLR4Z1OBZ8OLdLZ",1,3
"0TFBuVyddzHaLR4Z1OBZ8OLdLZ",2,3
"0TFBuVyddzHaLR4Z1OBZ8OLdLZ",3,2
"0TFBuVyddzHaLR4Z1OBZ8OLdLZ",99,5
"0TUU6KNqzeBrYHXqkJwawgPCqY",1,5
"0TUU6KNqzeBrYHXqkJwawgPCqY",2,2
"0TUU6KNqzeBrYHXqkJwawgPCqY",3,3
"0TUU6KNqzeBrYHXqkJwawgPCqY",99,3
"0WHg8qcj7I94A3oUQSPaqVanYX",1,4
"0WHg8qcj7I94A3oUQSPaqVanYX",2,4
"0WHg8qcj7I94A3oUQSPaqVanYX",3,3
"0WHg8qcj7I94A3oUQSPaqVanYX",99,4
"0wxHPgNbpBWYb8kVt0LHMMWnKG",1,4
"0wxHPgNbpBWYb8kVt0LHMMWnKG",2,3
"0wxHPgNbpBWYb8kVt0LHMMWnKG",3,4
"0wxHPgNbpBWYb8kVt0LHMMWnKG",99,3
"0ZtepTI67Bd7sjifgxAlqs79Ne",1,8
"0ZtepTI67Bd7sjifgxAlqs79Ne",2,4
"0ZtepTI67Bd7sjifgxAlqs79Ne",3,3
"0ZtepTI67Bd7sjifgxAlqs79Ne",99,13
"10GbaHu243wpAgm4YLuLyNWbLV",1,15
"10GbaHu243wpAgm4YLuLyNWbLV",2,2
"10GbaHu243wpAgm4YLuLyNWbLV",3,4
"10GbaHu243wpAgm4YLuLyNWbLV",99,10
"12oh6FlSP6CWj4rowY8XpVi9ty",1,2
"12oh6FlSP6CWj4rowY8XpVi9ty",2,1
"12oh6FlSP6CWj4rowY8XpVi9ty",3,2
"12oh6FlSP6CWj4rowY8XpVi9ty",99,5
"150M9Gh86Ey9SqRsx0UPPggMkN",1,NA
"150M9Gh86Ey9SqRsx0UPPggMkN",2,8
"150M9Gh86Ey9SqRsx0UPPggMkN",3,5
"150M9Gh86Ey9SqRsx0UPPggMkN",99,25
"1aCQXzMxvKGN7rhH120pTns7ly",1,4
"1aCQXzMxvKGN7rhH120pTns7ly",2,4
"1aCQXzMxvKGN7rhH120pTns7ly",3,4
"1aCQXzMxvKGN7rhH120pTns7ly",99,3
"1aGQbwe2Q2beIWN1PTKfae5IG2",1,4
"1aGQbwe2Q2beIWN1PTKfae5IG2",2,1
"1aGQbwe2Q2beIWN1PTKfae5IG2",3,1
"1aGQbwe2Q2beIWN1PTKfae5IG2",99,5
"1ALaeVQQ86lCBbzEY0ygIqiVPO",1,4
"1ALaeVQQ86lCBbzEY0ygIqiVPO",2,1
"1ALaeVQQ86lCBbzEY0ygIqiVPO",3,2
"1ALaeVQQ86lCBbzEY0ygIqiVPO",99,2
"1ALZ5uOIs5F8RvGZ3xmesJFtWC",1,3
"1ALZ5uOIs5F8RvGZ3xmesJFtWC",2,3
"1ALZ5uOIs5F8RvGZ3xmesJFtWC",3,4
"1ALZ5uOIs5F8RvGZ3xmesJFtWC",99,3
"1brBjF9gjcWQS6VPzrzn9fg0Zt",1,5
"1brBjF9gjcWQS6VPzrzn9fg0Zt",2,7
"1brBjF9gjcWQS6VPzrzn9fg0Zt",3,15
"1brBjF9gjcWQS6VPzrzn9fg0Zt",99,5
"1ceGfBKQFjbWwypDqcxWsFk6uK",1,56
"1ceGfBKQFjbWwypDqcxWsFk6uK",2,25
"1ceGfBKQFjbWwypDqcxWsFk6uK",3,32
"1ceGfBKQFjbWwypDqcxWsFk6uK",99,32
"1eaHN8Pl6BP2COQOcd9WXMKoSj",1,0
"1eaHN8Pl6BP2COQOcd9WXMKoSj",2,33
"1eaHN8Pl6BP2COQOcd9WXMKoSj",3,10
"1eaHN8Pl6BP2COQOcd9WXMKoSj",99,40
"1eOPl7SvGPvdQ1oAH8RH5igpCM",1,3
"1eOPl7SvGPvdQ1oAH8RH5igpCM",2,3
"1eOPl7SvGPvdQ1oAH8RH5igpCM",3,5
"1eOPl7SvGPvdQ1oAH8RH5igpCM",99,3
"1GOJzZnrmuKpj5ARHg3lnbX8VY",1,10
"1GOJzZnrmuKpj5ARHg3lnbX8VY",2,17
"1GOJzZnrmuKpj5ARHg3lnbX8VY",3,19
"1GOJzZnrmuKpj5ARHg3lnbX8VY",99,67
"1GzcKqUhkoccdTdKcWOwKBiZly",1,2
"1GzcKqUhkoccdTdKcWOwKBiZly",2,3
"1GzcKqUhkoccdTdKcWOwKBiZly",3,1
"1GzcKqUhkoccdTdKcWOwKBiZly",99,13
"1HOK6QspxGl8qgK7ewjz5BK80U",1,3
"1HOK6QspxGl8qgK7ewjz5BK80U",2,2
"1HOK6QspxGl8qgK7ewjz5BK80U",3,3
"1HOK6QspxGl8qgK7ewjz5BK80U",99,5
"1hz1kVjqIX5xpI8NmyGlNEYmUB",1,4
"1hz1kVjqIX5xpI8NmyGlNEYmUB",2,4
"1hz1kVjqIX5xpI8NmyGlNEYmUB",3,2
"1hz1kVjqIX5xpI8NmyGlNEYmUB",99,0
"1hz9aEcPKuUVxzeWXU0DKHJOTo",1,2
"1hz9aEcPKuUVxzeWXU0DKHJOTo",2,1
"1hz9aEcPKuUVxzeWXU0DKHJOTo",3,1
"1hz9aEcPKuUVxzeWXU0DKHJOTo",99,10
"1ILqAdEwHzFzo7m8TqJW9kesyb",1,4
"1ILqAdEwHzFzo7m8TqJW9kesyb",2,4
"1ILqAdEwHzFzo7m8TqJW9kesyb",3,5
"1ILqAdEwHzFzo7m8TqJW9kesyb",99,4
"1JdcraYIvlFTeFgt9LeNqWf2GH",1,8
"1JdcraYIvlFTeFgt9LeNqWf2GH",2,5
"1JdcraYIvlFTeFgt9LeNqWf2GH",3,5
"1JdcraYIvlFTeFgt9LeNqWf2GH",99,3
"1KoESoRPlfSTBYVri98fhC3YRW",1,3
"1KoESoRPlfSTBYVri98fhC3YRW",2,2
"1KoESoRPlfSTBYVri98fhC3YRW",3,1
"1KoESoRPlfSTBYVri98fhC3YRW",99,3
"1Mj9fbNoVRFtG3zHNlw3cAngFs",1,5
"1Mj9fbNoVRFtG3zHNlw3cAngFs",2,3
"1Mj9fbNoVRFtG3zHNlw3cAngFs",3,4
"1Mj9fbNoVRFtG3zHNlw3cAngFs",99,20
"1OzveigfU1iFItrM6WmJ1HkUNY",1,5
"1OzveigfU1iFItrM6WmJ1HkUNY",2,2
"1OzveigfU1iFItrM6WmJ1HkUNY",3,4
"1OzveigfU1iFItrM6WmJ1HkUNY",99,5
"1Pe9x9yqTZv1pgTsRNpo2zRQpC",1,10
"1Pe9x9yqTZv1pgTsRNpo2zRQpC",2,6
"1Pe9x9yqTZv1pgTsRNpo2zRQpC",3,10
"1Pe9x9yqTZv1pgTsRNpo2zRQpC",99,15
"1QXBE675rvNFx1h3UMWmN8YCK5",1,4
"1QXBE675rvNFx1h3UMWmN8YCK5",2,3
"1QXBE675rvNFx1h3UMWmN8YCK5",3,2
"1QXBE675rvNFx1h3UMWmN8YCK5",99,3
"1qXE7msJPud2zghs0WMBazegjc",1,170
"1qXE7msJPud2zghs0WMBazegjc",2,20
"1qXE7msJPud2zghs0WMBazegjc",3,10
"1qXE7msJPud2zghs0WMBazegjc",99,10
"1TuvpkmKs8aFElCAUlBddz9xEb",1,5
"1TuvpkmKs8aFElCAUlBddz9xEb",2,3
"1TuvpkmKs8aFElCAUlBddz9xEb",3,5
"1TuvpkmKs8aFElCAUlBddz9xEb",99,1
"1uZPCXhrAQUz9u3bnwbSu2f9OW",1,40
"1uZPCXhrAQUz9u3bnwbSu2f9OW",2,4
"1uZPCXhrAQUz9u3bnwbSu2f9OW",3,4
"1uZPCXhrAQUz9u3bnwbSu2f9OW",99,3
"1VVvtTfxgSynTTEwaJcPf1u0gn",1,5
"1VVvtTfxgSynTTEwaJcPf1u0gn",2,5
"1VVvtTfxgSynTTEwaJcPf1u0gn",3,5
"1VVvtTfxgSynTTEwaJcPf1u0gn",99,5
"1XXChrNBzIqhFB0g33oGeyYIy4",1,50
"1XXChrNBzIqhFB0g33oGeyYIy4",2,15
"1XXChrNBzIqhFB0g33oGeyYIy4",3,8
"1XXChrNBzIqhFB0g33oGeyYIy4",99,25
"1yI1shgZoSp9zuHnav8CB9I7zR",1,5
"1yI1shgZoSp9zuHnav8CB9I7zR",2,8
"1yI1shgZoSp9zuHnav8CB9I7zR",3,4
"1yI1shgZoSp9zuHnav8CB9I7zR",99,4
"1Yl4QzSdVTD0JE1XZVhBNi10Zg",1,4
"1Yl4QzSdVTD0JE1XZVhBNi10Zg",2,8
"1Yl4QzSdVTD0JE1XZVhBNi10Zg",3,4
"1Yl4QzSdVTD0JE1XZVhBNi10Zg",99,6
"1ytoRyxVdfLL03kw6kCQ74p7bb",1,3
"1ytoRyxVdfLL03kw6kCQ74p7bb",2,2
"1ytoRyxVdfLL03kw6kCQ74p7bb",3,2
"1ytoRyxVdfLL03kw6kCQ74p7bb",99,5
"1yyTDdpAKpAAydh7Rncn6Zvxhs",1,5
"1yyTDdpAKpAAydh7Rncn6Zvxhs",2,3
"1yyTDdpAKpAAydh7Rncn6Zvxhs",3,3
"1yyTDdpAKpAAydh7Rncn6Zvxhs",99,3
"1ZFtLAHgL9wLhdzIYquWED4PQ8",1,2
"1ZFtLAHgL9wLhdzIYquWED4PQ8",2,3
"1ZFtLAHgL9wLhdzIYquWED4PQ8",3,3
"1ZFtLAHgL9wLhdzIYquWED4PQ8",99,15
"229xyGIaKNEWS0oeiN7biPTDrB",1,5
"229xyGIaKNEWS0oeiN7biPTDrB",2,6
"229xyGIaKNEWS0oeiN7biPTDrB",3,10
"229xyGIaKNEWS0oeiN7biPTDrB",99,0
"22SLGyDjygVAernNoSd9funI0I",1,10
"22SLGyDjygVAernNoSd9funI0I",2,12
"22SLGyDjygVAernNoSd9funI0I",3,8
"22SLGyDjygVAernNoSd9funI0I",99,8
"23HD27W1197H9sHMwteQG7Jugr",1,1
"23HD27W1197H9sHMwteQG7Jugr",2,5
"23HD27W1197H9sHMwteQG7Jugr",3,5
"23HD27W1197H9sHMwteQG7Jugr",99,5
"25bD8vGu2cCVsPkfhZmCy6xK4t",1,10
"25bD8vGu2cCVsPkfhZmCy6xK4t",2,20
"25bD8vGu2cCVsPkfhZmCy6xK4t",3,10
"25bD8vGu2cCVsPkfhZmCy6xK4t",99,50
"26KL9Q0Jbtt6iGSpAKazbt3JhO",1,3
"26KL9Q0Jbtt6iGSpAKazbt3JhO",2,2
"26KL9Q0Jbtt6iGSpAKazbt3JhO",3,4
"26KL9Q0Jbtt6iGSpAKazbt3JhO",99,1
"27AV1HkWznJc86h2ia7qzeaAan",1,3
"27AV1HkWznJc86h2ia7qzeaAan",2,2
"27AV1HkWznJc86h2ia7qzeaAan",3,4
"27AV1HkWznJc86h2ia7qzeaAan",99,10
"27YwGn0TiDrlXCLxWsUMAcIt45",1,6
"27YwGn0TiDrlXCLxWsUMAcIt45",2,3
"27YwGn0TiDrlXCLxWsUMAcIt45",3,4
"27YwGn0TiDrlXCLxWsUMAcIt45",99,2
"2AA93UwCDg76IqO8nWIGe29q3f",1,5
"2AA93UwCDg76IqO8nWIGe29q3f",2,12
"2AA93UwCDg76IqO8nWIGe29q3f",3,8
"2AA93UwCDg76IqO8nWIGe29q3f",99,25
"2Ae7wnUWcndUGrOvagks7LUeMP",1,2
"2Ae7wnUWcndUGrOvagks7LUeMP",2,2
"2Ae7wnUWcndUGrOvagks7LUeMP",3,3
"2Ae7wnUWcndUGrOvagks7LUeMP",99,20
"2aQZXR26aFtNfvbuKuJDBeA0yZ",1,3
"2aQZXR26aFtNfvbuKuJDBeA0yZ",2,3
"2aQZXR26aFtNfvbuKuJDBeA0yZ",3,3
"2aQZXR26aFtNfvbuKuJDBeA0yZ",99,3
"2B8aRYS8XLGxLWy0alFAxZOteH",1,2
"2B8aRYS8XLGxLWy0alFAxZOteH",2,1
"2B8aRYS8XLGxLWy0alFAxZOteH",3,2
"2B8aRYS8XLGxLWy0alFAxZOteH",99,8
"2BbadaObQh5WnCZXiWm3e9vkVw",1,6
"2BbadaObQh5WnCZXiWm3e9vkVw",2,10
"2BbadaObQh5WnCZXiWm3e9vkVw",3,6
"2BbadaObQh5WnCZXiWm3e9vkVw",99,10
"2BSQyVgbrBh50btdNl6EK3U8Cy",1,3
"2BSQyVgbrBh50btdNl6EK3U8Cy",2,4
"2BSQyVgbrBh50btdNl6EK3U8Cy",3,4
"2BSQyVgbrBh50btdNl6EK3U8Cy",99,4
"2bzzlY8CXwFaRLtIWXsNTF6zU1",1,5
"2bzzlY8CXwFaRLtIWXsNTF6zU1",2,7
"2bzzlY8CXwFaRLtIWXsNTF6zU1",3,7
"2bzzlY8CXwFaRLtIWXsNTF6zU1",99,5
"2c4yipde1kQFIRgdbcH0lZrkDB",1,4
"2c4yipde1kQFIRgdbcH0lZrkDB",2,2
"2c4yipde1kQFIRgdbcH0lZrkDB",3,2
"2c4yipde1kQFIRgdbcH0lZrkDB",99,7
"2C5DtnlTohwdyo1AXzAqIOgcsh",1,2
"2C5DtnlTohwdyo1AXzAqIOgcsh",2,3
"2C5DtnlTohwdyo1AXzAqIOgcsh",3,3
"2C5DtnlTohwdyo1AXzAqIOgcsh",99,0
"2COV6nUMhLRXTmoPS3pdjRr40b",1,6
"2COV6nUMhLRXTmoPS3pdjRr40b",2,4
"2COV6nUMhLRXTmoPS3pdjRr40b",3,5
"2COV6nUMhLRXTmoPS3pdjRr40b",99,40
"2d8DQPFYsBDFeDwNnYbm1WMThN",1,3
"2d8DQPFYsBDFeDwNnYbm1WMThN",2,3
"2d8DQPFYsBDFeDwNnYbm1WMThN",3,1
"2d8DQPFYsBDFeDwNnYbm1WMThN",99,2
"2EgIpyLmeCAoeePQ81fpFLNhi9",1,40
"2EgIpyLmeCAoeePQ81fpFLNhi9",2,2
"2EgIpyLmeCAoeePQ81fpFLNhi9",3,2
"2EgIpyLmeCAoeePQ81fpFLNhi9",99,5
"2HTOse3Z1zDR7tTs6hmh4LJDZU",1,2
"2HTOse3Z1zDR7tTs6hmh4LJDZU",2,3
"2HTOse3Z1zDR7tTs6hmh4LJDZU",3,3
"2HTOse3Z1zDR7tTs6hmh4LJDZU",99,10
"2HvcPyWqIgSow0Y7B5UNDR1o1g",1,3
"2HvcPyWqIgSow0Y7B5UNDR1o1g",2,3
"2HvcPyWqIgSow0Y7B5UNDR1o1g",3,3
"2HvcPyWqIgSow0Y7B5UNDR1o1g",99,4
"2i7132kcPcxEmc2hecMr2CbwsY",1,3
"2i7132kcPcxEmc2hecMr2CbwsY",2,2
"2i7132kcPcxEmc2hecMr2CbwsY",3,4
"2i7132kcPcxEmc2hecMr2CbwsY",99,18
"2IAPahTER2q65V8labGmLd9VyB",1,0
"2IAPahTER2q65V8labGmLd9VyB",2,1
"2IAPahTER2q65V8labGmLd9VyB",3,2
"2IAPahTER2q65V8labGmLd9VyB",99,0
"2Ibpve15BFt7T07Lh0Cs6sMquO",1,1
"2Ibpve15BFt7T07Lh0Cs6sMquO",2,2
"2Ibpve15BFt7T07Lh0Cs6sMquO",3,3
"2Ibpve15BFt7T07Lh0Cs6sMquO",99,10
"2iW5aedfeK1xomkAYXya3H6Sl7",1,3
"2iW5aedfeK1xomkAYXya3H6Sl7",2,3
"2iW5aedfeK1xomkAYXya3H6Sl7",3,3
"2iW5aedfeK1xomkAYXya3H6Sl7",99,4
"2kFcDYk61xgzZHmkFH8bb2RKup",1,90
"2kFcDYk61xgzZHmkFH8bb2RKup",2,92
"2kFcDYk61xgzZHmkFH8bb2RKup",3,93
"2kFcDYk61xgzZHmkFH8bb2RKup",99,94
"2Kk30fz2ObcGfo1bH2DzHn6Kdl",1,3
"2Kk30fz2ObcGfo1bH2DzHn6Kdl",2,3
"2Kk30fz2ObcGfo1bH2DzHn6Kdl",3,3
"2Kk30fz2ObcGfo1bH2DzHn6Kdl",99,5
"2KRWlhry8hXugjECoOimhKHyu5",1,3
"2KRWlhry8hXugjECoOimhKHyu5",2,5
"2KRWlhry8hXugjECoOimhKHyu5",3,3
"2KRWlhry8hXugjECoOimhKHyu5",99,2
"2KuJ4f2LdhEueMmip3ipFVwITm",1,4
"2KuJ4f2LdhEueMmip3ipFVwITm",2,3
"2KuJ4f2LdhEueMmip3ipFVwITm",3,3
"2KuJ4f2LdhEueMmip3ipFVwITm",99,2
"2NCG8KpHpVcw40nODxbJ3TWyM0",1,3
"2NCG8KpHpVcw40nODxbJ3TWyM0",2,2
"2NCG8KpHpVcw40nODxbJ3TWyM0",3,3
"2NCG8KpHpVcw40nODxbJ3TWyM0",99,5
"2oVIiZjinndSKhVOAfMCb8PUJv",1,4
"2oVIiZjinndSKhVOAfMCb8PUJv",2,2
"2oVIiZjinndSKhVOAfMCb8PUJv",3,2
"2oVIiZjinndSKhVOAfMCb8PUJv",99,3
"2p2RkuvbMlDmcQO7ALZNcy7BVB",1,20
"2p2RkuvbMlDmcQO7ALZNcy7BVB",2,3
"2p2RkuvbMlDmcQO7ALZNcy7BVB",3,5
"2p2RkuvbMlDmcQO7ALZNcy7BVB",99,5
"2P9goQ7BC60ryfbXcJfqY5Opuk",1,5
"2P9goQ7BC60ryfbXcJfqY5Opuk",2,2
"2P9goQ7BC60ryfbXcJfqY5Opuk",3,4
"2P9goQ7BC60ryfbXcJfqY5Opuk",99,5
"2pImB3BA3YLxVN9QOEhOPSR55b",1,4
"2pImB3BA3YLxVN9QOEhOPSR55b",2,1
"2pImB3BA3YLxVN9QOEhOPSR55b",3,2
"2pImB3BA3YLxVN9QOEhOPSR55b",99,1
"2pVh1uFFDJWhz3IJSvqAmaTMnX",1,30
"2pVh1uFFDJWhz3IJSvqAmaTMnX",2,20
"2pVh1uFFDJWhz3IJSvqAmaTMnX",3,40
"2pVh1uFFDJWhz3IJSvqAmaTMnX",99,40
"2RtPMbFJ5EI1NUfXYKVCpd70Tv",1,20
"2RtPMbFJ5EI1NUfXYKVCpd70Tv",2,4
"2RtPMbFJ5EI1NUfXYKVCpd70Tv",3,2
"2RtPMbFJ5EI1NUfXYKVCpd70Tv",99,4
"2RxrmlEWI5tDbOtzjbwEAV1wdg",1,75
"2RxrmlEWI5tDbOtzjbwEAV1wdg",2,NA
"2RxrmlEWI5tDbOtzjbwEAV1wdg",3,NA
"2RxrmlEWI5tDbOtzjbwEAV1wdg",99,NA
"2s7L6hjw0aVfIiOHqEf92R92CI",1,6
"2s7L6hjw0aVfIiOHqEf92R92CI",2,4
"2s7L6hjw0aVfIiOHqEf92R92CI",3,0
"2s7L6hjw0aVfIiOHqEf92R92CI",99,0
"2tMJcwUb0jCy9PamYQNgCCBCdA",1,3
"2tMJcwUb0jCy9PamYQNgCCBCdA",2,2
