trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_time_series,task_shipley_abstraction,task_admc_a2,task_admc_rc1,task_graph_literacy,task_coherence_forecasting,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_vocab,task_impossible_question,task_leapfrog,custom_timer_ended_trial,interval_id,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,response,shipley_abstraction_score,slider_start,slider_moved,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,question_order,shipley_vocabulary_score,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction
html-keyboard-response,130,167088,0.0-17.0-7.0-0.0-0.30,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,131,168367,0.0-17.0-7.0-0.0-1.30,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,1267.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,129.0,,,False,0.0,30.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,,,,,,,,,,,,,,,,,,,,,,A,harmony,array,array,small,large,0.2,0.17,10.0,400.0,2.0,68.0,8.0,332.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,132,169370,0.0-17.0-7.0-0.0-2.30,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,133,169674,0.0-17.0-7.0-0.0-0.31,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,134,172350,0.0-17.0-7.0-0.0-1.31,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,2672.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,133.0,,,False,0.0,31.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,conflict,array,text,small,large,0.3,0.22,10.0,400.0,3.0,88.0,7.0,312.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,135,173353,0.0-17.0-7.0-0.0-2.31,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,136,173657,0.0-17.0-7.0-0.0-0.32,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,137,175291,0.0-17.0-7.0-0.0-1.32,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,1626.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,137.0,,,False,0.0,32.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,,,,,,,,,,,,,,,,,,,,,,A,conflict,array,array,small,large,0.3,0.35,10.0,400.0,3.0,140.0,7.0,260.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,138,176293,0.0-17.0-7.0-0.0-2.32,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,139,176596,0.0-17.0-7.0-0.0-0.33,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,140,178754,0.0-17.0-7.0-0.0-1.33,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,2150.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,140.0,,,False,0.0,33.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,harmony,text,array,small,large,0.2,0.16,10.0,400.0,2.0,64.0,8.0,336.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,141,179757,0.0-17.0-7.0-0.0-2.33,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,142,180061,0.0-17.0-7.0-0.0-0.34,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,143,182181,0.0-17.0-7.0-0.0-1.34,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,2111.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,143.0,,,False,0.0,34.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,harmony,text,array,small,large,0.1,0.02,10.0,400.0,1.0,8.0,9.0,392.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,144,183184,0.0-17.0-7.0-0.0-2.34,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,145,183487,0.0-17.0-7.0-0.0-0.35,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,146,186368,0.0-17.0-7.0-0.0-1.35,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,2877.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,146.0,,,False,0.0,35.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,,,,,,,,,,,,,,,,,,,,,,A,harmony,text,text,large,small,0.16,0.1,400.0,10.0,64.0,1.0,336.0,9.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,147,187371,0.0-17.0-7.0-0.0-2.35,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,148,187674,0.0-17.0-7.0-0.0-0.36,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,149,189704,0.0-17.0-7.0-0.0-1.36,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,2026.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,149.0,,,False,0.0,36.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,,,,,,,,,,,,,,,,,,,,,,A,conflict,array,text,small,large,0.1,0.11,10.0,400.0,1.0,44.0,9.0,356.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,150,190707,0.0-17.0-7.0-0.0-2.36,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,151,191011,0.0-17.0-7.0-0.0-0.37,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,152,191871,0.0-17.0-7.0-0.0-1.37,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,851.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,152.0,,,False,0.0,37.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,harmony,array,text,large,small,0.31,0.3,400.0,10.0,124.0,3.0,276.0,7.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,153,192875,0.0-17.0-7.0-0.0-2.37,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,154,193179,0.0-17.0-7.0-0.0-0.38,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,155,193915,0.0-17.0-7.0-0.0-1.38,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,726.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,156.0,,,False,0.0,38.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,harmony,array,array,large,small,0.27,0.3,400.0,10.0,108.0,3.0,292.0,7.0,left,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,156,194918,0.0-17.0-7.0-0.0-2.38,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,157,195221,0.0-17.0-7.0-0.0-0.39,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,158,196805,0.0-17.0-7.0-0.0-1.39,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,1580.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,159.0,,,False,0.0,39.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,,,,,,,,,,,,,,,,,,,,,,A,harmony,array,text,small,large,0.1,0.04,10.0,400.0,1.0,16.0,9.0,384.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,159,197808,0.0-17.0-7.0-0.0-2.39,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,160,198111,0.0-17.0-7.0-0.0-0.40,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,,,,,,,,,,,,,fixation_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,161,198798,0.0-17.0-7.0-0.0-1.40,WgRfEmiRKt0bi4Pa8GXf,223301,3,hOu3JpzO7RN6aWPratW1dCGOas,C7dUlukB1kJCG5t83sBxNefMGv,,,,676.0,,,,,,,,,,,,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,False,162.0,,,False,0.0,40.0,,,,,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,,,,,,,,,,,,,,,,,,,,,,A,harmony,array,array,large,small,0.19,0.2,400.0,10.0,76.0,2.0,324.0,8.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
