trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_admc_a2,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_shipley_abstraction,task_admc_rc1,task_time_series,task_graph_literacy,task_shipley_vocab,task_admc_rp,task_coherence_forecasting,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,slider_start,slider_moved,admc_id,admc_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,shipley_abstraction_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,question_order,shipley_vocabulary_score,moved_sliders,cfs_id,cfs_response
call-function,12,27305,0.0-9.0-3.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,13,29636,0.0-9.0-4.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_pt_trials_instructions,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 2331}]",2331.0,1440.0,900.0,,,,,,,,,,,,,False,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,29940,0.0-9.0-5.0-0.0-0.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,fixation_cross,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,15,32301,0.0-9.0-5.0-0.0-1.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,2359.0,1440.0,900.0,,,,,,,,,,,,,False,10.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" style='visibility: hidden'"">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowleft,True,0.0,0.0,A,harmony,array,text,large,small,0.14,0.1,400.0,10.0,56.0,1.0,344.0,9.0,left,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,16,33304,0.0-9.0-5.0-0.0-2.0,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: gold; line-height: 2em;"">You drew a <b>gold coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,17,33607,0.0-9.0-5.0-0.0-0.1,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,fixation_cross,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,18,34671,0.0-9.0-5.0-0.0-1.1,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,1060.0,1440.0,900.0,,,,,,,,,,,,,False,14.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,True,0.0,1.0,A,harmony,array,array,small,large,0.1,0.17,10.0,400.0,1.0,68.0,9.0,332.0,right,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,19,35673,0.0-9.0-5.0-0.0-2.1,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_trial_feedback,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,"<p style=""font-size: 3em; color: white; line-height: 2em;"">You drew a <b>silver coin</b>.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,35976,0.0-9.0-5.0-0.0-0.2,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,fixation_cross,,,,,,,,,,,,,,,,,,,,1440.0,900.0,,,,,,,,,,,,,,,"<div class=""fixation-cross"">+</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,21,36509,0.0-9.0-5.0-0.0-1.2,cF4Hy6MQbBHjtLu8xQRm,223301,5,HSCYYb9oNISwgDDgWm0GTv3k64,HzdV0zL65WpGiiYHhuAbHrPIi1,dn_main_trial_version_A,,,,,,,,,,,,,,,,,,,530.0,1440.0,900.0,,,,,,,,,,,,,False,17.0,"<div id=""lottery_labels_container"">
                            <div>Lottery 1</div>
                            <div>Lottery 2</div>
                        </div>
                        <div id=""lottery_text_desc_container"">
                            <div id=""lottery_left_text"" class=""lottery_text""></div>
                            <div id=""lottery_right_text"" class=""lottery_text""></div>
                        </div>
                        <div id=""lotteries_container"">
                            <div id=""lottery_left_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_left"" class=""lottery""></div>
                            </div>
                            <div id=""lottery_right_parent"" class=""lottery_parent"" "">
                                <div id=""lottery_right"" class=""lottery""></div>
                            </div>
                        </div>
                        <div id=""lottery_choices"">
                            <div class=""lottery_choice""><span>Draw from Lottery 1</span><br><span><i>left arrow</i></span></div>
                            <div class=""lottery_choice""><span>Draw from Lottery 2</span><br><span><i>right arrow</i></span></div>
                        </div>
                ",arrowright,True,0.0,2.0,A,conflict,array,array,small,large,0.3,0.29,10.0,400.0,3.0,116.0,7.0,284.0,right,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
