trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_a2,task_shipley_vocab,task_graph_literacy,task_coherence_forecasting,task_admc_rp,task_leapfrog,task_admc_rc1,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_time_series,task_impossible_question,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,question_order,shipley_vocabulary_score,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,moved_sliders,cfs_id,cfs_response,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,correct_answer,correct
html-keyboard-response,30,571859,0.0-13.0-0.0-0.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,31,572011,0.0-13.0-1.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,32,572011,0.0-13.0-2.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,33,802447,0.0-13.0-3.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,gl_main_trial,,,,,,,,,,,,,,,,,,,230432.0,1280.0,720.0,,,,,,,,,,,,,False,26.0,,,"{'Q1': '35', 'Q2': '15', 'Q3': '25', 'Q4': '25', 'Q5': '20', 'Q6': '3', 'Q7': '25', 'Q8': '40', 'Q9': '20', 'Q10': '1', 'Q11': '2', 'Q12': '2', 'Q13': '5'}",,,,,,35.0,15.0,25.0,25.0,20.0,3.0,25.0,40.0,20.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,34,802448,0.0-13.0-4.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,35,802448,0.0-13.0-5.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,36,802451,0.0-13.0-7.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,async_data_save,,,,,,,,,,,,,,,,Graph Literacy__completed,4.0,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,37,802604,0.0-15.0-1.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,38,817769,0.0-15.0-2.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,cfs_general_instructions,,,,,,,,,,,,,,,,,,"[{'page_index': 0, 'viewing_time': 15163}]",15164.0,1280.0,720.0,,,,,,,,,,,,,False,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,39,817770,0.0-15.0-3.0,7rdzWU5Zz8Pev8BzXksx,223301,3,sJKTeo9ykESDH7OZXXImgi0CSH,iq0xpkaJKsrz5Gs0ApT3HFYxwO,,,,,,,,,,,,,,,,,,,,,1280.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
