trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_coherence_forecasting,task_leapfrog,task_admc_rp,task_graph_literacy,task_admc_rc1,task_admc_a2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_shipley_vocab,task_time_series,task_impossible_question,task_bayesian_update_easy,task_bayesian_update_hard,task_shipley_abstraction,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,response,moved_sliders,cfs_id,cfs_response,stimulus,pt_trial,block,trial,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,admc_id,admc_response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,slider_start,slider_moved,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,shipley_vocabulary_score,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,shipley_abstraction_score
survey-html-form,12,1578112,0.0-9.0-4.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,42993.0,2560.0,1080.0,,,,,,,,,,,,,False,46.0,"{'trinary_A': '50', 'trinary_B': '53', 'trinary_C': '90', 'trinary_AB': '10', 'trinary_BC': '90'}","trinary_A_slider,trinary_B_slider,trinary_C_slider,trinary_AB_slider,trinary_BC_slider,","['trinary_A', 'trinary_B', 'trinary_C', 'trinary_AB', 'trinary_BC']","['50', '53', '90', '10', '90']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,13,1639116,0.0-9.0-5.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,61001.0,2560.0,1080.0,,,,,,,,,,,,,True,91.0,"{'binary_statepop1': '90', 'binary_statearea1': '100', 'binary_gdp1': '50'}","binary_statepop1_slider,binary_statearea1_slider,binary_gdp1_slider,","['binary_statepop1', 'binary_statearea1', 'binary_gdp1']","['90', '100', '50']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,14,1692054,0.0-9.0-6.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,52936.0,2560.0,1080.0,,,,,,,,,,,,,False,155.0,"{'binary_statepop2': '9', 'binary_statearea2': '0', 'binary_gdp2': '90'}","binary_gdp2_slider,binary_statearea2_slider,binary_statepop2_slider,","['binary_statepop2', 'binary_statearea2', 'binary_gdp2']","['9', '0', '90']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,15,1710854,0.0-9.0-7.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,18797.0,2560.0,1080.0,,,,,,,,,,,,,False,211.0,"{'time1': '90', 'time2': '90', 'time3': '91'}","time1_slider,time2_slider,time3_slider,","['time1', 'time2', 'time3']","['90', '90', '91']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,16,1767903,0.0-9.0-8.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,57047.0,2560.0,1080.0,,,,,,,,,,,,,False,231.0,"{'time4': '10', 'time5': '10', 'time6': '10'}","time4_slider,time5_slider,time6_slider,","['time4', 'time5', 'time6']","['10', '10', '10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,17,1798875,0.0-9.0-9.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,30970.0,2560.0,1080.0,,,,,,,,,,,,,False,292.0,"{'space1': '80', 'space2': '100', 'space3': '100'}","space1_slider,space2_slider,space3_slider,","['space1', 'space2', 'space3']","['80', '100', '100']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,18,1821877,0.0-9.0-10.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,22999.0,2560.0,1080.0,,,,,,,,,,,,,False,325.0,"{'space4': '100', 'space5': '100', 'space6': '100'}","space4_slider,space5_slider,space6_slider,","['space4', 'space5', 'space6']","['100', '100', '100']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,19,1877915,0.0-9.0-11.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,cfs_test_trial,,,,,,,,,,,,,,,,,,,56036.0,2560.0,1080.0,,,,,,,,,,,,,False,351.0,"{'confidence_interval1': '100', 'confidence_interval2': '100', 'confidence_interval3': '100'}","confidence_interval1_slider,confidence_interval2_slider,confidence_interval3_slider,","['confidence_interval1', 'confidence_interval2', 'confidence_interval3']","['100', '100', '100']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,20,1877917,0.0-9.0-12.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,21,1877918,0.0-9.0-13.0,Ij5If0n4tBMsNtacFvQq,223301,3,NKYnMs959z4MohQvtvXVeD8sA1,nBoRaoYeoeUDuCPHK7rKllzkyE,,,,,,,,,,,,,,,,,,,,,2560.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
