trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,trial_name,experiment_parameters,task_admc_rc2,task_denominator_neglect_version_A,task_denominator_neglect_version_B,task_raven_matrix,task_bayesian_update_easy,task_bayesian_update_hard,task_leapfrog,task_number_series,task_admc_dr,task_time_series,task_impossible_question,task_admc_a1,task_cognitive_reflection,data_checkpoint,data_checkpoint_ind,view_history,rt,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,success,custom_timer_ended_trial,interval_id,stimulus,slider_start,response,slider_moved,admc_id,admc_response,pt_trial,block,trial,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn,question_order,list_id,correct_answer,correct,response_slider,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,aig_version,score,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,ns_id,ns_response,y_axis_values,chart_height,func,direction,noise_condition,datapoints,response_choice,id,question_text,answer_1,answer_2,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7
html-button-response,1200,188507463,0.0-27.0-7.0-0.0-0.9,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,12574.0,1366.0,768.0,,,,,,,,,,,,,False,3508.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[332.4461047004982, 313.25684400138783, 323.3554227859923, 295.83342166039444, 287.10597589821697, 276.8286128823492, 257.9549698467067, 247.93294175407232, 229.69889697684184, 243.3883828491336, '261.17', '278.34', '301.56', '325.80', '331.86', '332.87']",508.6,linear,negative,low,datapoints_10,,,,,,,,,,,,
html-button-response,1201,188523027,0.0-27.0-7.0-0.0-0.10,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,15562.0,1366.0,768.0,,,,,,,,,,,,,False,3509.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[72.01361350207877, 83.1971396816583, 84.33003025687287, 94.15591090594107, 94.12519499101911, 101.22145942488275, 104.6919354638757, 108.413126381895, 92.96743029523341, 139.17836440122704, '148.06', '174.31', '172.29', '199.56', '214.71', '222.79']",508.6,exponential,positive,low,datapoints_10,,,,,,,,,,,,
html-button-response,1202,188533300,0.0-27.0-7.0-0.0-0.11,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,10272.0,1366.0,768.0,,,,,,,,,,,,,False,3510.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[447.5978109664697, 409.91689283859154, 439.3197515470029, 403.6502092332214, 408.0100776475639, 480.5914414576941, 381.2138599551371, 398.21310318951566, 411.8287211146319, 371.85508851911356, '357.11', '353.07', '358.12', '381.35', '403.57', '411.65']",508.6,exponential,negative,high,datapoints_10,,,,,,,,,,,,
html-button-response,1203,188544267,0.0-27.0-7.0-0.0-0.12,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,10966.0,1366.0,768.0,,,,,,,,,,,,,False,3511.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[227.5823119398136, 174.6623619001891, 211.18327229468446, 195.92634530918085, 175.01150000256433, 203.01292474170478, 125.31149498403454, 152.75344107377987, 212.98489851742227, 187.43061499270345, 229.64208096683063, 217.04799422828668, 295.924885993728, 212.18241551043118, 252.31005219993494, 306.0467683666867, 255.7204798049625, 234.81710145912558, 237.44189933634078, 233.71496828982214, 264.8317617307319, 271.7166316316154, 262.7924348349344, 306.53661830703334, 256.58907004260976, 293.4912632348461, 299.5092953023824, 281.758082049364, 310.4227370132282, 279.59367966531465, '278.34', '287.43', '312.67', '308.63', '312.67', '322.77']",508.6,linear,positive,high,datapoints_30,,,,,,,,,,,,
html-button-response,1204,188553649,0.0-27.0-7.0-0.0-0.13,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,9380.0,1366.0,768.0,,,,,,,,,,,,,False,3512.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[425.955254592688, 412.55412788721475, 432.487287923531, 437.28145292033446, 417.49205384392803, 405.13303069041416, 425.142834007283, 401.03700233962894, 392.9447048666068, 363.3581784856467, '353.07', '355.09', '355.09', '357.11', '389.43', '423.77']",508.6,exponential,negative,low,datapoints_10,,,,,,,,,,,,
html-button-response,1205,188561483,0.0-27.0-7.0-0.0-0.14,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,7833.0,1366.0,768.0,,,,,,,,,,,,,False,3513.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[177.43054854037982, 181.0134988352237, 184.10245673612764, 172.20056765318824, 184.85617881847634, 197.01957406432362, 209.27815318754756, 205.7130769116486, 223.20983118162044, 211.22396725726767, 220.43429465155583, 224.0816892689149, 231.2496781274685, 239.71395419698487, 245.23807915917916, 253.0335946619809, 245.10674510951685, 245.27245624678153, 243.76920985227082, 258.3945979789023, 271.77231101758133, 277.8888225619313, 281.39819126479375, 292.05211121973286, 314.0020427981696, 283.0643699145963, 300.8510615838533, 282.2080998174065, 306.5469795888583, 298.05538151135426, '292.48', '294.50', '296.52', '308.63', '331.86', '352.06']",508.6,linear,positive,low,datapoints_30,,,,,,,,,,,,
html-button-response,1206,188570427,0.0-27.0-7.0-0.0-0.15,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,time_series_trial,,,,,,,,,,,,,,,,,,8942.0,1366.0,768.0,,,,,,,,,,,,,False,3514.0,"<canvas id=""myChart""></canvas>",,0,,,,False,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[174.36150606293796, 185.32362688568762, 259.88267669759534, 253.34253107867673, 271.7886294054763, 223.96890505783514, 230.7725025449538, 270.48313814881254, 301.08538697126306, 298.18417451821534, '289.45', '275.31', '306.61', '318.73', '315.70', '318.73']",508.6,linear,positive,high,datapoints_10,,,,,,,,,,,,
call-function,1207,188570428,0.0-27.0-8.0,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,1208,188570429,0.0-27.0-9.0,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,,,,,,,,,,,,,,,,,,,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,1209,188570431,0.0-27.0-11.0,LynzelXsiQQRTlvLSarp,33ff78,3,C6VFEurWvlQs5UfcEgMeJxhvyh,UwipvLUquFFVAyIyXWWxyUaTOC,async_data_save,,,,,,,,,,,,,,,Time series__completed,11.0,,,1366.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
