trial_type,trial_index,time_elapsed,internal_node_id,subject_id,form,wave,session_id,session_restart_id,FULLSCREEN_SCREEN_WIDTH,FULLSCREEN_SCREEN_HEIGHT,view_history,rt,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_name,success,data_checkpoint,data_checkpoint_ind,experiment_parameters,task_graph_literacy,task_time_series,task_admc_rc1,task_coherence_forecasting,task_impossible_question,task_leapfrog,task_bayesian_update_easy,task_bayesian_update_hard,task_admc_a2,task_shipley_vocab,task_shipley_abstraction,task_admc_rp,task_denominator_neglect_version_A,task_denominator_neglect_version_B,response,custom_timer_ended_trial,interval_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,y_axis_values,chart_height,pt_trial,block,trial,func,direction,noise_condition,datapoints,stimulus,slider_start,slider_moved,admc_id,admc_response,moved_sliders,cfs_id,cfs_response,response_choice,response_slider,id,question_text,answer_1,answer_2,correct_answer,aig_version,correct,optionA_reward,optionB_reward,points_won,option_selected,curr_block_ind,pt_trial_prediction,unique_trial,unique_trial_draw_number,ball_split,left_box_majority_color,right_box_majority_color,selected_box_majority_color,current_draw,past_draws,version,score,question_order,shipley_vocabulary_score,shipley_abstraction_score,task_version,choice_type,left_lottery_display_type,right_lottery_display_type,left_lottery_type,right_lottery_type,left_lottery_gold_prop,right_lottery_gold_prop,left_lottery_total_coins,right_lottery_total_coins,left_lottery_gold_coins,right_lottery_gold_coins,left_lottery_silver_coins,right_lottery_silver_coins,selected_lottery,coin_drawn
html-keyboard-response,2,3,0.0-2.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,Mzs3aRNhtMyHlGP6EQjG7HQ5N9,,,,,,,,,,,,,,,,async_data_save,,experiment__save_session_params,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,7,1247547,0.0-7.0-0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,8,1247699,0.0-7.0-1.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,9,1247700,0.0-7.0-2.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
survey-html-form,10,1422271,0.0-7.0-3.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,174571.0,,,,,,,,,,,,gl_main_trial,,,,,,,,,,,,,,,,,,,"{'Q1': '35', 'Q2': '15', 'Q3': '25', 'Q4': '25', 'Q5': '20', 'Q6': '3', 'Q7': '25', 'Q8': '60', 'Q9': '20', 'Q10': '3', 'Q11': '2', 'Q12': '2', 'Q13': '5'}",False,38.0,35.0,15.0,25.0,25.0,20.0,3.0,25.0,60.0,20.0,3.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,11,1422272,0.0-7.0-4.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,12,1422272,0.0-7.0-5.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,13,1422274,0.0-7.0-7.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,async_data_save,,Graph Literacy__completed,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,14,1425652,0.0-8.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 3377}]",3378.0,,,,,,,,,,,,break_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,15,1425653,0.0-9.0-0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,16,1425806,0.0-9.0-1.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,17,1451663,0.0-9.0-2.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 7825}, {'page_index': 1, 'viewing_time': 18032}]",25858.0,,,,,,,,,,,,time_series_general_instructions,,,,,,,,,,,,,,,,,,,,False,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call-function,18,1451665,0.0-9.0-3.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,19,1457921,0.0-9.0-4.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 6256}]",6256.0,,,,,,,,,,,,time_series_pt_trials_instructions,,,,,,,,,,,,,,,,,,,,False,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,20,1478922,0.0-9.0-5.0-0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,,True,556.0,,,,,,,,,,,,,,"[492.1727592881818, 520.0733369327417, 498.187576599659, 499.91196504468616, 488.5723264511288, 491.0485377235646, 504.56200298121894, 488.620864352445, 477.87544894924, 479.42336568301107, '486.64', '510.85', '489.67', '495.72', '489.67', '479.59']",601.6,True,0.0,0.0,exponential,negative,low,datapoints_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,21,1496857,0.0-9.0-5.0-0.0-0.1,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,17931.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,614.0,,,,,,,,,,,,,,"[204.07970408726152, 201.24624461994298, 229.06664279158716, 226.8154795532325, 250.73859893723574, 239.59875629171006, 220.63855758369624, 208.53390904506293, 263.38778827496486, 261.25374221318236, 275.6208168514119, 278.65202821473866, 277.16531561677857, 279.75614841434333, 285.3412503740158, 306.221525946075, 280.844889137997, 311.1753496940747, 319.33735283453626, 330.69987848863616, 300.8384553499442, 301.09431234902684, 316.99263546277297, 329.16869796304235, 354.1977349098213, 348.44853766164823, 355.31496057205794, 365.16849068882885, 366.7766378673741, 352.45374530137855, '347.49', '356.56', '368.66', '382.78', '402.95', '390.85']",601.6,True,0.0,1.0,linear,positive,low,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,22,1517859,0.0-9.0-5.0-0.0-0.2,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,,True,660.0,,,,,,,,,,,,,,"[32.7178424591156, 119.19124102365387, 97.83842962772385, 13.302918887496148, 47.90931812910836, 0, 121.5587187841798, 50.549809161406614, 149.31180945253556, 124.65984395702684, 137.75947184042417, 76.01882437085173, 78.18865949779727, 108.25649979029392, 161.52126810844274, 31.56510359610489, 119.0008366225314, 114.33017138988974, 124.1444019277902, 112.24172488979961, 67.48381688783203, 155.2788402452726, 134.60328267056536, 143.1524356272585, 127.49182054926334, 174.9120286455035, 233.1808381802632, 123.87331128272278, 215.9988736127478, 264.0229036109179, '289.00']",601.6,True,0.0,2.0,exponential,positive,high,datapoints_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,23,1529952,0.0-9.0-5.0-0.0-0.3,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,12090.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,706.0,,,,,,,,,,,,,,"[35.981954044127235, 84.65221189341149, 119.07982305362917, 66.74654274857356, 157.09224988265953, 134.70214736348214, 136.94558273923775, 154.85896588859646, 122.42761056967443, 77.20769468915394, 140.5600345688874, 101.01625901196923, 44.650887298610485, 89.66287497928077, 204.46652459896262, 194.97920075145169, 147.0250631387248, 46.33472984005277, 157.83321761085244, 153.30785098937142, 185.6940036845034, 130.62556615164948, 117.95863105534124, 112.36919177637571, 144.2592283070945, 164.08148734430196, 236.60357835479869, 189.42099476869086, 174.85067516159847, 255.918733348961, '229.51', '203.29', '244.63', '299.09', '336.40', '235.56']",601.6,True,0.0,3.0,exponential,positive,high,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructions,24,1533555,0.0-9.0-6.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,"[{'page_index': 0, 'viewing_time': 3601}]",3602.0,,,,,,,,,,,,time_series_test_trials_instructions,,,,,,,,,,,,,,,,,,,,False,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,25,1545326,0.0-9.0-7.0-0.0-0.0,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,11769.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,754.0,,,,,,,,,,,,,,"[512.6308126122603, 484.66367097601756, 486.9291838244604, 494.5479284043744, 513.5664161212552, 512.8641987092049, 473.897269632239, 495.6739288014156, 506.1146402348991, 499.92287254526883, 487.8967929809903, 477.0439932999638, 492.651138533025, 500.1410324555685, 489.96932453710264, 490.14266941802936, 479.0327463279821, 483.28540950077155, 464.70323497655534, 491.6647717304343, 466.1939770633629, 462.1377014538002, 434.2386352548418, 460.5345766255364, 433.5258528706489, 425.2545971193422, 415.4049499759708, 419.5492810541996, 385.77482150553163, 346.17403990409315, '336.40', '318.24', '300.09', '320.26', '279.93', '259.76']",601.6,False,0.0,0.0,exponential,negative,low,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,26,1554029,0.0-9.0-7.0-0.0-0.1,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,8701.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,788.0,,,,,,,,,,,,,,"[106.16923452088028, 96.48990739650368, 88.90911969820483, 106.78904243989987, 104.2265719863057, 104.08449623332982, 98.0325550267546, 105.30992887105826, 119.19500030259651, 113.74210198518205, 103.79381373327956, 131.3416385041471, 120.6906143147053, 129.75931520637073, 121.65227264080522, 120.8921994879952, 132.34808591542364, 106.53266796015431, 123.53081412617352, 130.1735508464873, 136.96337166121705, 132.38822638881925, 153.25310480193178, 160.91201601891476, 162.68344342908875, 186.68955229930492, 201.23365203234238, 203.6470100394575, 217.57070599636648, 243.10896684003905, '262.78', '273.88', '294.04', '310.18', '326.31', '345.47']",601.6,False,0.0,1.0,exponential,positive,low,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,27,1563346,0.0-9.0-7.0-0.0-0.2,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,9315.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,816.0,,,,,,,,,,,,,,"[205.2397278310803, 226.52622118120567, 247.54869520642222, 247.6829813153714, 255.39623226131624, 285.959149660677, 285.7200033379952, 299.64502232209776, 309.4475852530047, 318.0126388685524, '322.28', '327.32', '337.40', '340.43', '356.56', '370.68']",601.6,False,0.0,2.0,linear,positive,low,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,28,1579891,0.0-9.0-7.0-0.0-0.3,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,16543.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,846.0,,,,,,,,,,,,,,"[433.9795354968631, 483.4898298989923, 487.5266181483812, 516.2338236743826, 478.6244104266075, 508.27022692785727, 488.08115283693985, 490.70921067388804, 506.6600309690104, 414.4800682001204, '381.77', '370.68', '355.56', '327.32', '315.22', '323.29']",601.6,False,0.0,3.0,exponential,negative,high,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,29,1593360,0.0-9.0-7.0-0.0-0.4,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,13467.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,890.0,,,,,,,,,,,,,,"[203.3719217319816, 200.34831950020325, 210.50371419914532, 239.38604125534698, 213.98266773154057, 209.45711410689907, 243.08661886724374, 232.16331966019024, 252.20308611280618, 286.7068783121374, 257.73592847900915, 262.4770017324422, 284.1460719025705, 272.40468448701546, 270.4953873298237, 298.4422716554231, 296.70521450145435, 307.8861751232264, 310.2130242486062, 336.02791399989803, 322.35209447519657, 326.02201258185, 333.4872040702305, 339.0587667593292, 341.78728744978963, 337.7505529018901, 355.2363567975713, 339.48051563685146, 356.27809613440553, 384.9264687414275, '393.87', '405.97', '415.05', '429.17', '421.10', '448.33']",601.6,False,0.0,4.0,linear,positive,low,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,30,1608887,0.0-9.0-7.0-0.0-0.5,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,15526.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,928.0,,,,,,,,,,,,,,"[512.9955631485894, 423.3159531081511, 520.4889153012313, 497.0936465767268, 475.8693912607044, 470.3144973517008, 560.8819679829436, 520.2471254817322, 491.0038910815496, 470.94844309412093, 522.076951167883, 489.0711702753156, 446.3180411972552, 485.21255218545576, 494.2986539559231, 528.2026423232065, 465.3037900906147, 538.3313640373481, 483.24798189811855, 428.266287498455, 480.32206595426777, 460.3282697183225, 456.65576425715534, 412.24577858370213, 466.2953036505336, 363.3222629005348, 419.49299433202765, 399.7801138028993, 427.4922463804341, 317.55465539606865, '360.60', '323.29', '268.83', '305.14', '262.78', '242.62']",601.6,False,0.0,5.0,exponential,negative,high,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,31,1623230,0.0-9.0-7.0-0.0-0.6,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,14341.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,970.0,,,,,,,,,,,,,,"[250.42234669133148, 150.79856951341344, 229.30374784208342, 210.29681969254338, 306.9084363182834, 204.34053124599382, 241.83918500356236, 218.04167224028808, 226.54014775211564, 276.3638220500624, 312.73320749689157, 244.2677404074364, 281.8167196022192, 354.78983995051374, 270.94364267913016, 310.31413394959986, 321.0217168218927, 269.4628530015637, 271.2499638330765, 355.99554959740476, 294.8883482820902, 329.4719433951794, 379.4818135613359, 356.7555836545154, 321.9930999491295, 360.25352756272065, 393.87946190120056, 309.5556601314379, 317.530538623195, 448.18430691174876, '501.77', '422.11', '462.44', '530.00', '485.64', '530.00']",601.6,False,0.0,6.0,linear,positive,high,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,32,1631507,0.0-9.0-7.0-0.0-0.7,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,8274.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1010.0,,,,,,,,,,,,,,"[505.49264328840457, 490.5683515458501, 506.06578123562133, 528.3889863337578, 494.93247241870927, 510.11761365399093, 485.91796526843996, 483.7458059055237, 467.13789951294507, 450.59008278115743, '443.28', '426.14', '405.97', '394.88', '381.77', '368.66']",601.6,False,0.0,7.0,exponential,negative,low,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,33,1642278,0.0-9.0-7.0-0.0-0.8,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,10768.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1038.0,,,,,,,,,,,,,,"[442.7323108122711, 382.09705644537104, 365.5378936871003, 467.6742372087273, 305.78471567143754, 397.91470099683244, 367.7971540596513, 286.37214871314694, 359.73468645497525, 313.9755410917168, 300.12090794129574, 367.1917821799833, 306.0948910378156, 263.33343951258723, 339.2493586772201, 306.77151750100825, 304.37356619424054, 275.8315674350659, 297.6430948952192, 307.03391346087204, 234.8415435498991, 281.0881684678891, 236.70506296813406, 264.9658064414209, 251.17448591534492, 231.8522759072222, 280.3170192777199, 223.20453789332984, 214.7648879086514, 238.0469517769749, '260.77', '242.62', '207.32', '166.99', '225.47', '149.85']",601.6,False,0.0,8.0,linear,negative,high,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,34,1651977,0.0-9.0-7.0-0.0-0.9,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,9698.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1070.0,,,,,,,,,,,,,,"[98.2285297681849, 107.80451720428617, 120.84130763641735, 99.83321107947006, 93.12846425324616, 136.74119809550422, 124.12074262771841, 146.83814900362646, 133.7953045337751, 124.3774922102932, '128.67', '127.66', '110.52', '111.53', '89.34', '125.64']",601.6,False,0.0,9.0,exponential,positive,low,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,35,1666854,0.0-9.0-7.0-0.0-0.10,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,14876.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1100.0,,,,,,,,,,,,,,"[36.49201922809363, 132.78455234560494, 100.39584442956435, 170.45058662692546, 20.62055924454952, 51.5832041445432, 161.96762745571445, 104.46337396285242, 173.23901156363618, 156.93135538390814, '128.67', '163.96', '212.37', '85.31', '189.17', '246.65']",601.6,False,0.0,10.0,exponential,positive,high,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,36,1676283,0.0-9.0-7.0-0.0-0.11,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,9428.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1146.0,,,,,,,,,,,,,,"[366.2412102936213, 373.4232587823962, 379.5952302011069, 357.44871697243747, 338.52808701072894, 329.1972402815721, 303.08064387607027, 281.28876918392325, 289.46121273004985, 264.4541877100692, '250.68', '228.50', '208.33', '183.12', '192.20', '166.99']",601.6,False,0.0,11.0,linear,negative,low,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,37,1684524,0.0-9.0-7.0-0.0-0.12,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,8240.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1176.0,,,,,,,,,,,,,,"[235.2648236072411, 300.90438705439965, 223.81609242512545, 253.83701980411809, 261.9357180360401, 312.86543406338996, 250.92704093254488, 243.6693382246865, 334.57666898381416, 298.41061946634824, '256.73', '304.13', '263.79', '306.14', '250.68', '317.24']",601.6,False,0.0,12.0,linear,positive,high,datapoints_10,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,38,1701554,0.0-9.0-7.0-0.0-0.13,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,17027.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1204.0,,,,,,,,,,,,,,"[75.45342331718142, 137.5631535676195, 157.1174968820264, 102.88620937095695, 140.29561281300155, 56.74697941666805, 143.28361473978651, 89.29077144760917, 92.39910383546588, 109.07743948558284, 94.39019702764101, 155.0783056963147, 172.68706522399452, 80.16546834817784, 126.19204696487111, 95.94341760938659, 98.66891131311252, 67.54789655211884, 159.96633516627463, 169.26987036925362, 48.38775915831622, 127.93536957387327, 135.190645799731, 84.21288607746229, 153.1056596704612, 145.32419256533606, 223.4946558506856, 161.43831353924566, 270.0791395821379, 244.93257144395358, '307.15', '279.93', '336.40', '310.18', '364.63', '359.59']",601.6,False,0.0,13.0,exponential,positive,high,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html-button-response,39,1708208,0.0-9.0-7.0-0.0-0.14,UXHtOtRF19fgRxUkUkB8,223301,3,un8j5ggNH4Q7jziY87vAoeixnY,0TGNmF1nCLb36Y31VstDT8q9uU,1440.0,865.0,,6652.0,,,,,,,,,,,,time_series_trial,,,,,,,,,,,,,,,,,,,0,False,1250.0,,,,,,,,,,,,,,"[414.2511082488808, 391.2107256942143, 383.0673826900673, 383.6854407641509, 386.0784487908048, 378.7719518011885, 364.9189180199268, 349.27146873669375, 347.4028146613181, 332.81531930710827, 326.5598478166016, 335.1638924222133, 328.5658046554708, 327.8101004518788, 318.10453422836923, 339.93155219561066, 299.62817583116845, 302.8211372521174, 294.0712618035587, 289.2850844125448, 303.10197934864334, 272.0133099719941, 277.8922470235771, 269.5872467544992, 264.8322732468641, 239.08840313374424, 241.15283036352014, 239.6691547435174, 229.26337949203722, 226.5890371569262, '225.47', '215.39', '210.35', '198.25', '193.21', '179.09']",601.6,False,0.0,14.0,linear,negative,low,datapoints_30,"<canvas id=""myChart""></canvas>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
