"session_id","session_restart_id","time_elapsed","trial_index","custom_timer_ended_trial","trial_name","rt","ns_id","ns_response","wave","correct_answer","correct"
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1820364,1351,FALSE,"number_series_test_trial",13737,"NS_5","3/22","3.0","8/16",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1824244,1352,FALSE,"number_series_test_trial",3874,"NS_6","175","3.0","165",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1826859,1353,FALSE,"number_series_test_trial",2608,"NS_7","9","3.0","43",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1829202,1354,FALSE,"number_series_test_trial",2337,"NS_8","999","3.0","8900",0
"W6lW7tpcdPnwidSMJyh0KrZtZ9","FC4UOASx57sEFVAZBJFSxdRL5X",1836282,1355,FALSE,"number_series_test_trial",7074,"NS_9","8/13","3.0","12/16",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",1995873,1133,FALSE,"number_series_test_trial",5546,"NS_1","6","2.0","-2",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2000211,1134,FALSE,"number_series_test_trial",4332,"NS_2","48","2.0","28",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2002291,1135,FALSE,"number_series_test_trial",2073,"NS_3","74","2.0","64",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2003871,1136,FALSE,"number_series_test_trial",1575,"NS_4","7","2.0","29",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2010924,1137,FALSE,"number_series_test_trial",7048,"NS_5","4/9","2.0","8/16",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2014732,1138,FALSE,"number_series_test_trial",3801,"NS_6","105","2.0","165",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2017627,1139,FALSE,"number_series_test_trial",2887,"NS_7","3","2.0","43",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2021618,1140,FALSE,"number_series_test_trial",3985,"NS_8","987","2.0","8900",0
"Ox2JDobTVCybEB6T15i8Cf82Z1","6tVhik6yMDBEBQwVOgIqfCrq0H",2027190,1141,FALSE,"number_series_test_trial",5565,"NS_9","3/8","2.0","12/16",0
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1128353,100,FALSE,"number_series_test_trial",14260,"NS_1","-2","2.0","-2",1
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1140887,101,FALSE,"number_series_test_trial",12533,"NS_2","28","2.0","28",1
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1171891,102,TRUE,"number_series_test_trial",31002,"NS_3",NA,"2.0","64",NA
"WiMJRTZtpieHRm3ClAWipoHr0C","SGb3o2ONPK215NplFlfdAm7wub",1176659,103,FALSE,"number_series_test_trial",4766,"NS_4","32","2.0","29",0
